,STR_ESID,Name,wikiQLabel,wikiQ,instance
255,10120309,Peter Ochs-Strasse,Peter Ochs,http://www.wikidata.org/entity/Q676747,Mensch
256,10055752,Hagenaustrasse,Hagenau,http://www.wikidata.org/entity/Q22730,Gemeinde in Frankreich
257,10120314,Lörracherstrasse,Lörracher,http://www.wikidata.org/entity/Q105534736,Familienname
258,10026494,Altrheinweg,Altrhein,http://www.wikidata.org/entity/Q2547751,Fluss
259,10089602,Wanderstrasse,Wander,http://www.wikidata.org/entity/Q1286467,Geschäftsbetrieb
260,10063843,Thiersteinerallee,Thiersteiner,,
261,10025950,Schnabelgasse,Schnabel,http://www.wikidata.org/entity/Q31528,Klasse anatomischer Entitäten
262,10025349,Burgunderstrasse,Burgunder,http://www.wikidata.org/entity/Q997264,Wikimedia-Begriffsklärungsseite
263,10025129,Novarastrasse,Novara,http://www.wikidata.org/entity/Q6046,Stadt
264,10179471,Häsingerstrasse,Häsinger,,
265,10026823,Gotthardstrasse,Gotthard,http://www.wikidata.org/entity/Q341407,Wikimedia-Begriffsklärungsseite
266,10110188,Jägerweg,Jäger,http://www.wikidata.org/entity/Q315316,Dienstgrad beim Militär
267,10179474,Rheinschanze,Rhein,http://www.wikidata.org/entity/Q584,Fluss
268,10089607,De Wette-Strasse,De Wette,http://www.wikidata.org/entity/Q107341734,Wikimedia-Begriffsklärungsseite
269,10026516,Bettingerweg,Bettinger,http://www.wikidata.org/entity/Q850121,Wikimedia-Begriffsklärungsseite
270,10087386,Roggenstrasse,Roggen,http://www.wikidata.org/entity/Q12099,Taxon
271,10089603,Wilhelm His-Strasse,Wilhelm His,http://www.wikidata.org/entity/Q69526,Mensch
272,10025963,Wartenbergstrasse,Wartenberg,http://www.wikidata.org/entity/Q297208,Wikimedia-Begriffsklärungsseite
273,10087585,Bundesplatz,Bundes,,
274,10026513,Weilerweg,Weiler,http://www.wikidata.org/entity/Q5084,Bezeichnung einer geographischen Verwaltungseinheit
275,10026487,Maiengasse,Maien,http://www.wikidata.org/entity/Q1225953,Wikimedia-Begriffsklärungsseite
276,10025347,Arnold Böcklin-Strasse,Arnold Böcklin,http://www.wikidata.org/entity/Q123071,Mensch
277,10179462,Kohlenberg,Kohlenberg,http://www.wikidata.org/entity/Q644034,Hügel
278,10063534,Jägerstrasse,Jäger,http://www.wikidata.org/entity/Q315316,Dienstgrad beim Militär
279,10089616,Stapfelberg,Stapfelberg,,
280,10055193,Bläsiring,Bläsi,http://www.wikidata.org/entity/Q886976,Wikimedia-Begriffsklärungsseite
281,10026790,St. Alban-Tal,St. Alban-Tal,,
282,10087605,Entenweidstrasse,Entenweid,,
283,10181509,Hardrain,Hard,http://www.wikidata.org/entity/Q295116,Wikimedia-Begriffsklärungsseite
284,10185139,Davidsrain,Davids,http://www.wikidata.org/entity/Q1177640,Wikimedia-Begriffsklärungsseite
285,10087645,Kirschblütenweg,Kirschblüten,http://www.wikidata.org/entity/Q1743585,Wikimedia-Begriffsklärungsseite
286,10025922,Kleinhüningerstrasse,Kleinhüninger,,
287,10181194,Am Bahndamm,Am Bahndamm,http://www.wikidata.org/entity/Q28800040,Innerortsstraße
288,10175156,Holbeinplatz,Holbein,http://www.wikidata.org/entity/Q1624290,Wikimedia-Begriffsklärungsseite
289,10063532,Immengasse,Immen,http://www.wikidata.org/entity/Q1659980,Ortsteil
290,10025624,Allschwilerstrasse,Allschwiler,,
291,10087626,Kasernenstrasse,Kasernen,,
292,10120975,Emanuel Büchel-Strasse,Emanuel Büchel,http://www.wikidata.org/entity/Q117083,Mensch
