,Id Strasse,Strassenname,Erklärung erste Zeile,Erklärung zweite Zeile,Geo Shape,Geo Point,Erstmals erwähnt,Amtlich benannt,Indextext,Kurztext
221,437,Oserweglein,"Friedrich Oser (1820–1891),",Baselbieter Pfarrer und Dichter,"{""coordinates"": [[7.585961959212322, 47.53138352543336], [7.585893148581785, 47.53144790020232], [7.585888724672432, 47.53145207892301], [7.585884367235037, 47.53145628454096], [7.585880049710299, 47.53146051708979], [7.58587579865754, 47.531464776535806], [7.585871614076773, 47.531469062879154], [7.585867482663566, 47.53147336714279], [7.585863404467481, 47.53147770731426], [7.585859392718633, 47.53148206538928], [7.585855434186922, 47.531486459372154], [7.58585154210247, 47.53149087125857], [7.585847703185619, 47.53149530106524], [7.585843930765602, 47.531499766763076], [7.585840211513204, 47.53150425038123], [7.585836558708116, 47.53150875190291], [7.585832972375121, 47.53151328032197], [7.585829439234548, 47.53151783565515], [7.585825972541316, 47.53152240889188], [7.585822572295444, 47.53152700003222], [7.585819225242025, 47.53153161808666], [7.585815944635985, 47.5315362540447], [7.585812730477339, 47.531540907906326], [7.585809582766108, 47.53154557967155], [7.58580648824738, 47.53155027835096], [7.585803473455771, 47.53155499491721], [7.585800511831927, 47.531559729403845], [7.585797616655543, 47.531564481794064], [7.585794787926639, 47.53156925208794], [7.585792025645233, 47.531574040285435], [7.585789316506871, 47.53157883740954], [7.585786687120502, 47.531583661414295], [7.5857841241569, 47.53158849432892], [7.585781614385922, 47.53159335415772], [7.585779184317452, 47.53159822287967], [7.585776807392106, 47.531603100528194], [7.585774510218826, 47.531608005057464], [7.585772266163944, 47.53161290951957], [7.585770101861161, 47.53161784086233], [7.585768003981273, 47.53162278111499], [7.585765972524293, 47.53162773027755], [7.585763994235291, 47.53163269736058], [7.585762095648945, 47.5316376733367], [7.585760263485564, 47.531642658222744], [7.585758511049627, 47.53164766099572], [7.585756811756984, 47.53165267269532], [7.58575517888735, 47.531657693304844], [7.585753625720479, 47.53166272280756], [7.585752138976654, 47.531667761220184], [7.585750718680661, 47.53167281753646], [7.585749364783, 47.53167787376892], [7.585748077308451, 47.53168293891128], [7.58574686953675, 47.53168801294681], [7.585745728188201, 47.53169309589224], [7.585744639958335, 47.531698178770625], [7.585743644735858, 47.531703279519164], [7.585742702632113, 47.53170838020064], [7.58574184020656, 47.5317134807815], [7.585741044229012, 47.531718599266036], [7.585740314649966, 47.531723717666786], [7.585739651469451, 47.531728835983685], [7.585739067991971, 47.53173396319375], [7.585738550913058, 47.53173909031993], [7.585738100232733, 47.531744217362345], [7.585737715975774, 47.5317493533147], [7.585737411397173, 47.53175448916637]], ""type"": ""LineString""}","47.53155434557446,7.585823195942008",,1968,OSE,Oserweglein
222,516,Schäublinstrasse,"Johann Jakob Schäublin (1822–1901),",Waisenhausvater und Gesangspädagoge,"{""coordinates"": [[[7.583248513988138, 47.53150908757632], [7.583319476471647, 47.531448606034324], [7.583802011196035, 47.5310439678038], [7.58380498039524, 47.531041967477904], [7.583808016163024, 47.53104003002571], [7.58381114500966, 47.53103813742651], [7.583814340449315, 47.531036316694795], [7.583817602433124, 47.53103454984296], [7.583820944265085, 47.53103284584827], [7.583824352665652, 47.53103120472723], [7.58382782763482, 47.53102962647982], [7.5838313691726, 47.53102811110612], [7.583834964023864, 47.531026667616366], [7.583838612164205, 47.53102528701679], [7.583842326897617, 47.53102397828465], [7.583846081664985, 47.53102274145301], [7.583849903025452, 47.53102157648877], [7.583853751115912, 47.53102047444784], [7.583857652544362, 47.53101945328461]], [[7.583390727846482, 47.53327970233667], [7.583160381666853, 47.53302369169272], [7.583148741873272, 47.53301149253596], [7.583137314322715, 47.53299920317669], [7.583126112270842, 47.532986814604776], [7.58311512246181, 47.53297433583049], [7.583104371455623, 47.532961766820975], [7.583093845972125, 47.53294910759277], [7.583083546035508, 47.53293636713974], [7.583073484925687, 47.5329235454454], [7.583063649338213, 47.53291063353258], [7.583054039321572, 47.53289764938886], [7.583044681387079, 47.53288457499381], [7.583035549047454, 47.5328714373617], [7.583026655533986, 47.532858218488705], [7.583018000870828, 47.532844927368544], [7.583009585057849, 47.53283156400127], [7.583001408119174, 47.532818137380765], [7.582880713911692, 47.53263417456754], [7.582874735534442, 47.53262345235255], [7.582868956213314, 47.53261267592792], [7.582863375972494, 47.53260185428762], [7.58285799478758, 47.532590978437774], [7.582852825986974, 47.532580066349524], [7.582847856266326, 47.532569109045646], [7.582843098905472, 47.53255810650963], [7.582838540624359, 47.53254705875801], [7.582834181471397, 47.53253598377831], [7.582830034677873, 47.53252486356663], [7.58282610029219, 47.53251371611053], [7.582822378289966, 47.53250253241618], [7.582818855415406, 47.53249132149389], [7.582815544924048, 47.532480074333456], [7.582812446864281, 47.53246880892242], [7.582809561187465, 47.532457507273264], [7.582806887941981, 47.53244618737358], [7.582804427127692, 47.53243484922338], [7.582802165440309, 47.53242348384527], [7.582800129488019, 47.53241210919404], [7.582798305942283, 47.532400707298535], [7.582796681571556, 47.532389296162705], [7.582795282935519, 47.53237787575379], [7.582794096729881, 47.53236643709441], [7.582793122978748, 47.53235498917833], [7.582792361706246, 47.53234354099935], [7.582791812887985, 47.53233208356371], [7.582791476523825, 47.532320616871424], [7.582791352637885, 47.532309149916195], [7.582791454534155, 47.5322976916755], [7.582791755604235, 47.532286224194515], [7.582792282456254, 47.532274765428006], [7.582793021810186, 47.53226331539236], [7.582793973641648, 47.532251865093905], [7.582795137999008, 47.53224043252001], [7.582796514857883, 47.532229008677014], [7.582798104218126, 47.53221759356493], [7.58279990610387, 47.53220619617742], [7.582801920490702, 47.53219480752079], [7.58280414742703, 47.53218344558259], [7.582806586888437, 47.53217210136893], [7.582809238874805, 47.532160774879905], [7.582812103434515, 47.532149484103016], [7.582815180494658, 47.53213820205686], [7.582818470127879, 47.53212695572291], [7.582821959054223, 47.532115745117395], [7.582825660504874, 47.53210455223641], [7.582829574552481, 47.532093404061264], [7.582833687868582, 47.532082282620834], [7.582838027036955, 47.53207119687594], [7.582842552242293, 47.532060155869694], [7.582847290019831, 47.53204915057541], [7.582852240369466, 47.53203818099306], [7.582857390059799, 47.53202726512663], [7.582862739042184, 47.53201638498849], [7.582868300644842, 47.532005558549784], [7.582874048283802, 47.53199477684957], [7.582880008542827, 47.53198404884866], [7.582886168117737, 47.53197336556982], [7.582892527056976, 47.531962745000435], [7.58289907203211, 47.53195216916947], [7.582905829651167, 47.53194165603148], [7.582912773354471, 47.53193120561936], [7.58291991639745, 47.531920808922806], [7.583182674290062, 47.531588089973674], [7.583239557558266, 47.53151672544439], [7.583248513988138, 47.53150908757632]], [[7.586170073679072, 47.537745973807354], [7.586103687668179, 47.53760899241377], [7.58603853096281, 47.53747458164626], [7.585991751461571, 47.537386780426985], [7.585370886854846, 47.53635341216578], [7.585139433207226, 47.53597791548581], [7.584897879170327, 47.53561321454226]], [[7.584897879170327, 47.53561321454226], [7.584386589617867, 47.53484116167796], [7.584341042003893, 47.53476981683545]], [[7.583700065671422, 47.53370155892245], [7.583579969958679, 47.53349996828333], [7.58357063844642, 47.533486929875636], [7.583544377527498, 47.53345045667124], [7.583390727846482, 47.53327970233667]], [[7.584341042003893, 47.53476981683545], [7.584273274414964, 47.534663702720074], [7.583700065671422, 47.53370155892245]]], ""type"": ""MultiLineString""}","47.53428738010416,7.584224495250223",1820,1951,SCH,Schäublinstr.
238,847,Joh.Jak. Spreng-Gässlein,"Johann Jakob Spreng (1699–1768), Pfarrer am Waisenhaus,","Sprachforscher, Förderer des Vogel-Gryff-Brauchs","{""coordinates"": [[7.588212076689857, 47.56566345950078], [7.588137917398258, 47.56577354763315], [7.588066245551938, 47.56587990013778], [7.588025010301343, 47.56594109218392], [7.588090471720846, 47.56596117216641], [7.588073559991999, 47.56601495820639], [7.588053592538948, 47.56607847035264], [7.588031939049794, 47.56614731792053], [7.588003417388742, 47.56621212711608]], ""type"": ""LineString""}","47.56593092045135,7.588084933135682",,1983,SPR,Joh.Jak. Spreng-Gässlein
239,1835,Peter Merian-Weg,"Peter Merian (1795–1883), Geologe und Politiker",,"{""coordinates"": [[[7.595886415357806, 47.545502670532684], [7.596126700777633, 47.545450343957086], [7.596136336768209, 47.54544775871127], [7.596415540883852, 47.54537275058094], [7.596642936470213, 47.545310079561546], [7.596932853050333, 47.5452286970507], [7.597156292640013, 47.54516276565426], [7.598802112562781, 47.54463523297955], [7.59882573159656, 47.54462698918421], [7.598849270655447, 47.544618655556285], [7.598872743022327, 47.54461023207748], [7.598896148670111, 47.5446017097542], [7.598919474342745, 47.54459309759843], [7.598942720040159, 47.54458439561021], [7.59896589904521, 47.544575603771364], [7.598989011330817, 47.54456671308821], [7.599012030385013, 47.54455774158472], [7.599034982719597, 47.54454867123696], [7.599057841822642, 47.54453952006906], [7.599080634205902, 47.54453027005697], [7.599103346613391, 47.54452093021279], [7.599125979072056, 47.54451150953027], [7.599148518244854, 47.544501990040295], [7.59917099075162, 47.54449238969379]], [[7.593365451876489, 47.546316798256605], [7.593738727906894, 47.54622015855351], [7.593792538346165, 47.54620621851501], [7.59397428592257, 47.54613909867266], [7.595340710173504, 47.545641792999405], [7.595543358368689, 47.54562779574758], [7.595716253792515, 47.54556474126453], [7.59579416938059, 47.54553632378994], [7.595886415357806, 47.545502670532684]]], ""type"": ""MultiLineString""}","47.54541257443432,7.596269515465322",,2003,MER,Peter Merian-Weg
248,208,Gottfried Keller-Strasse,"Gottfried Keller (1819–1890), Schweizer Schriftsteller",,"{""coordinates"": [[[7.565335108814134, 47.554133641576286], [7.565215845438054, 47.55412780816012], [7.565067550191013, 47.554120558088], [7.564420663979144, 47.5540889336674], [7.564369137503188, 47.55409211002218]], [[7.562841131557245, 47.554371346947065], [7.56275581870958, 47.554396934950766]], [[7.564369137503188, 47.55409211002218], [7.56431812906464, 47.554095249821195], [7.563749428781485, 47.55414915779881], [7.563697246919437, 47.55415617488287]], [[7.566553526210085, 47.55417887281967], [7.566058816032474, 47.55415570661912], [7.565454372195099, 47.55413946587592], [7.565335108814134, 47.554133641576286]], [[7.567369931662602, 47.554208481679126], [7.566553526210085, 47.55417887281967]], [[7.563697246919437, 47.55415617488287], [7.563647522035131, 47.55416284754948], [7.56290273897915, 47.554355416414985], [7.562841131557245, 47.554371346947065]]], ""type"": ""MultiLineString""}","47.55417212866387,7.565050178873517",,1920,KEL,Gottfried Keller-Str.
250,621,Voltamatte,"Alessandro Volta (1745–1827),",italienischer Physiker und Konstrukteur,"{""coordinates"": [[7.579246221527657, 47.57086670276857], [7.578884161739716, 47.57086721961281], [7.578708850975665, 47.57086923800202], [7.578097731585192, 47.570885151607484], [7.578091805203184, 47.57088544649082], [7.578085879102823, 47.57088584929775], [7.578079993199638, 47.570886377967895], [7.578074120891035, 47.57088702353946], [7.578068275466521, 47.5708877859965], [7.578062483505133, 47.57088866530725], [7.57805671840428, 47.570889652509806], [7.578050993476941, 47.570890756581974], [7.578045335302162, 47.57089197749199], [7.578039717277357, 47.570893306278], [7.578034166005046, 47.57089475190189], [7.578028681461733, 47.57089630536996], [7.578023263647376, 47.570897966682246], [7.578017925828044, 47.57089972682929], [7.578012654761086, 47.570901603814214], [7.57800747697864, 47.57090357961795], [7.578002392480682, 47.570905654240555], [7.577997388001114, 47.57090783669157], [7.577992490095545, 47.5709101179456], [7.577987685450959, 47.57091248902483], [7.577982987380334, 47.57091495890713], [7.577978395860219, 47.570917518598755], [7.577973924180142, 47.57092016808397], [7.577969572340094, 47.57092290736263], [7.577965340340076, 47.57092573643491], [7.577961228133185, 47.57092863731343], [7.577957235766309, 47.570931627985466], [7.57795338979512, 47.57093469942572], [7.577949676883145, 47.570937833662676], [7.577946097077317, 47.570941048683785], [7.577942650354188, 47.5709443354953], [7.577939363269412, 47.57094768507184], [7.577839950533911, 47.57104716598521], [7.577671817883192, 47.57122370568432], [7.577177787921067, 47.5717515391732], [7.578479318058009, 47.572175720054396], [7.578757447453822, 47.57226628542053], [7.579207998139363, 47.57163336153106], [7.579246608269832, 47.57157910106874], [7.579246909924153, 47.57138067305596], [7.579246221527657, 47.57086670276857]], ""type"": ""LineString""}","47.57150213317846,7.57834756972672",,1990,VOL,Voltamatte
254,959,Wettsteinstrasse,"Johann Rudolf Wettstein (1594–1666),",Bürgermeister und Diplomat (Westfälischer Frieden),"{""coordinates"": [[7.59676724939093, 47.55727297859067], [7.596822237308425, 47.5573390438714], [7.597548560048779, 47.55821167974047], [7.597598231104715, 47.55827632188106], [7.597641246473735, 47.558327815253826], [7.598114100930004, 47.558893827963225]], ""type"": ""LineString""}","47.558083496471525,7.5974405733997905",,1878,WET,Wettsteinstr.
272,613,Urs Graf-Strasse,"Urs Graf (ca. 1485–1527), Söldner und Künstler,",ab 1512 Bürger von Basel,"{""coordinates"": [[7.611659348879917, 47.54912901516082], [7.611655611884864, 47.54912773460544], [7.611651914567306, 47.54912640002838], [7.611648256956396, 47.549125020423396], [7.611644639081296, 47.54912360478427], [7.611641047628778, 47.54912214413689], [7.611637495853771, 47.54912062946786], [7.611633997098664, 47.54911907874493], [7.61163053805024, 47.54911748299408], [7.611627118737641, 47.549115851208995], [7.611623739131737, 47.54911417439605], [7.611620412516594, 47.549112452535425], [7.611617125637291, 47.54911069464066], [7.611613891748756, 47.54910889169824], [7.611610710880146, 47.549107052701906], [7.61160756974739, 47.549105177671414], [7.611604481605402, 47.54910325759331], [7.611601446483345, 47.54910130146126], [7.611598464410361, 47.549099318269114], [7.611595535328156, 47.54909729002933], [7.611592672549941, 47.54909522571592], [7.611589849507586, 47.54909312536838], [7.611587092798364, 47.549090997940944], [7.611584389109062, 47.54908883445963], [7.611581738439687, 47.54908663492446], [7.611579154074295, 47.549084399315696], [7.611576636042026, 47.54908213662702], [7.611574171058814, 47.54907984687827], [7.611571759124657, 47.549077530069376], [7.611569426778534, 47.54907517716714], [7.611567147481455, 47.54907279720483], [7.611564934517472, 47.54907039016263], [7.611562787886593, 47.549067956040574], [7.611539524134471, 47.549046450522624], [7.611516074715777, 47.549025035213155], [7.611492439630631, 47.54900371011201], [7.611468618908245, 47.54898248421287], [7.611444612548715, 47.54896135751563], [7.611420407238987, 47.54894032104611], [7.611396042889467, 47.54891939273253], [7.611371479589916, 47.548898554646506], [7.611346730653568, 47.548877815761855], [7.611321809364502, 47.54885717605883], [7.611296715722792, 47.54883663553726], [7.611271436473587, 47.54881620321054], [7.611245971558763, 47.54879586109099], [7.611220334320558, 47.54877562714635], [7.611194524759023, 47.548755501376455], [7.611168529561138, 47.54873547480713], [7.611148807268073, 47.54872043047806], [7.611128978917862, 47.54870544925904], [7.611109057765434, 47.5486905221366], [7.611089030555911, 47.54867565812411], [7.610278411895218, 47.548076450009894], [7.610143134743419, 47.54797078370388]], ""type"": ""LineString""}","47.54854659531231,7.6109051944883035",,1950,GRA,Urs Graf-Str.
277,110,Christoph Merian-Platz,"Christoph Merian (1800–1858), Grossgrundbesitzer",und Gründer der gleichnamigen Stiftung,"{""coordinates"": [[[7.611659348879917, 47.54912901516082], [7.61280685289892, 47.54887863578153]], [[7.61280685289892, 47.54887863578153], [7.613110283526035, 47.54945027482252], [7.613133443029913, 47.549492465833964], [7.612456826453476, 47.5496400941793], [7.612451028146229, 47.5496177443419], [7.612162034743921, 47.54968080793447]], [[7.612162034743921, 47.54968080793447], [7.611944579002603, 47.549728250111926], [7.611659348879917, 47.54912901516082]]], ""type"": ""MultiLineString""}","47.54931151687447,7.612392940027412",,1903,MER,Christoph Merian-Platz
287,908,Riehentorstrasse,"Riehentor, Teil der 1859–1878",abgetragenen Stadtbefestigung,"{""coordinates"": [[[7.594798091152053, 47.55813581272969], [7.594864334181672, 47.558193850420295], [7.595013311544067, 47.558324356479915], [7.595037142637184, 47.55834540580087], [7.595060827835978, 47.558366536256266], [7.595084340593934, 47.55838775687548], [7.595107694144655, 47.55840904965338], [7.595130901800817, 47.5584304235659], [7.59515393696315, 47.5584518696552], [7.595176812970707, 47.55847340589086], [7.595199529770658, 47.55849501428564], [7.595222087389276, 47.558516703833234], [7.595244472513651, 47.55853846555793], [7.5952666984565, 47.55856030843573], [7.595288765191333, 47.55858222347295], [7.595310672744436, 47.55860421966339], [7.59533240780285, 47.55862628803135], [7.595353970366462, 47.5586484285769], [7.595375373721602, 47.558670641282205], [7.595381104884404, 47.55867675830284], [7.5953867033422, 47.55868292946404], [7.595392155808472, 47.55868915478373], [7.595397462309601, 47.5586954432556], [7.595402622819139, 47.55870178588598], [7.595407637337054, 47.55870818267491], [7.595412492576822, 47.558714633640264], [7.595417215084959, 47.55872112975267], [7.595421778314873, 47.55872768004148], [7.595426195526587, 47.55873427549526], [7.595430466720065, 47.558740916113926], [7.595434578608775, 47.55874760191546], [7.595438531192662, 47.5587543328998], [7.595442324445261, 47.55876110007335], [7.59544597165302, 47.55876790341818], [7.595449459555798, 47.55877475194587], [7.595497261670239, 47.55889135425598]], [[7.596433882970658, 47.55969958809332], [7.596740265824569, 47.55986659099992], [7.596842216206023, 47.559938528343366]], [[7.595497261670239, 47.55889135425598], [7.595556526072669, 47.55901102595581], [7.595920553484387, 47.55938568154137], [7.595992407573418, 47.55944415168341]], [[7.595992407573418, 47.55944415168341], [7.596090925939635, 47.559524350572], [7.59636365555568, 47.55966131593649], [7.596433882970658, 47.55969958809332]]], ""type"": ""MultiLineString""}","47.55910374811024,7.595765607338927",1383,1861,RIE,Riehentorstr.
289,995,Hochbergersteg,"Hochberg, badisches Adelsgeschlecht (1190–1418)",Ruine Hochburg (12. Jh.) bei Emmendingen,"{""coordinates"": [[[7.59810340467936, 47.57371516249027], [7.598106483584864, 47.57381153455879], [7.5981074725193, 47.5738133589228], [7.598108514587989, 47.573815174220435], [7.598109623027455, 47.57381696244621], [7.598110811181709, 47.57381874156919], [7.598112039126222, 47.5738204936567], [7.598113346758665, 47.57382222764781], [7.598114707471647, 47.5738239345852], [7.598116121318898, 47.573825632456206], [7.598117601510087, 47.57382729426171], [7.598119148098958, 47.57382893798896], [7.598120734478106, 47.57383055468067], [7.598122400518339, 47.57383214428238], [7.598124106348851, 47.57383370684852], [7.598125865259923, 47.57383524236095], [7.598127690541815, 47.57383675080153], [7.598129555587109, 47.57383822321292], [7.598131473712971, 47.573839668570606], [7.59813344489251, 47.573841077880914], [7.598135469152606, 47.573842460137556], [7.598137546493263, 47.573843815340425], [7.598139663570456, 47.57384512552053], [7.598141820437934, 47.573846408665055], [7.598144030332222, 47.5738476467686], [7.598146280016785, 47.57384885783656], [7.598148569437883, 47.57385002388176], [7.598150911939533, 47.57385116287316], [7.598153280887431, 47.57385225685995], [7.598155689598729, 47.57385331481751], [7.598158138046551, 47.57385432775228], [7.598160626257754, 47.57385530465782], [7.598163140942074, 47.57385624555238], [7.598165695362905, 47.5738571414241], [7.598169063071271, 47.57385889957583], [7.598172298226576, 47.57386077482675], [7.598175387484799, 47.57386274920778], [7.598178330872814, 47.5738648317126], [7.598181115046577, 47.57386700437201], [7.598183726715809, 47.57386926720437], [7.598186179170776, 47.57387162019139], [7.598188459094311, 47.573874054357645], [7.59819055316923, 47.57387656072773], [7.59819244807835, 47.57387913032624], [7.598194170402211, 47.57388176311669], [7.598195680269948, 47.57388445915376], [7.598197004181434, 47.57388719142005], [7.598198115582972, 47.573889968945686], [7.598199027737924, 47.57389278271883], [7.598199727329085, 47.57389562376405], [7.598200214302662, 47.573898474093944], [7.598200502002659, 47.573901351677755], [7.598200563767829, 47.57390422957083], [7.598200426178697, 47.573907107736844], [7.598200062600883, 47.57390996822489], [7.598199499668702, 47.57391282898581], [7.598198723984288, 47.57391565406331], [7.598197748864778, 47.573918452432785], [7.598196560992968, 47.573921215118794], [7.59819517365912, 47.57392394210313], [7.598193586782553, 47.573926606404854], [7.598191800416997, 47.573929226011245], [7.59818982777208, 47.57393177392321], [7.598187668847773, 47.57393425014065], [7.598185336934359, 47.573936654645436], [7.598182818714639, 47.57393897846209], [7.598179392362912, 47.573944280429885], [7.59817609902101, 47.57394961819022], [7.598172952006144, 47.57395500071856], [7.598169924683996, 47.57396041006401], [7.598167056979257, 47.573965864159284], [7.598164322257605, 47.57397134505351], [7.598161720519084, 47.57397685274663], [7.598159265080898, 47.57398239621423], [7.598156955916227, 47.5739879664626], [7.598154779734795, 47.573993563509894], [7.598152749826953, 47.573999187338], [7.598150866165867, 47.5740048289533], [7.598149128751579, 47.574010488355704], [7.598147537611011, 47.57401617453894], [7.598146079427022, 47.57402187852755], [7.598144780780282, 47.574027600285156], [7.598143628353642, 47.574033330836315], [7.598142608883715, 47.57403907919281], [7.598141748897421, 47.57404482733104], [7.598141035158248, 47.57405059325653], [7.598140467639372, 47.57405636797549], [7.598140046340826, 47.574062151488064], [7.598139771235793, 47.57406793480054], [7.598139655614649, 47.574073717894734], [7.598139672896777, 47.574079500807024], [7.598139849689764, 47.57408529249476], [7.598140159332374, 47.57409106601324], [7.598140628485936, 47.574096848307136], [7.598141243806425, 47.574102621407256], [7.598142005293876, 47.57410838531368], [7.59814291292147, 47.57411413103274], [7.598143966742999, 47.574119876551684], [7.598198992570547, 47.574361137616286]], [[7.598404235272543, 47.57489775203738], [7.598511126729628, 47.574953842924856], [7.59851585416941, 47.57495693925861], [7.598520515318641, 47.57496008964519], [7.598525110150381, 47.57496328509092], [7.598529638637697, 47.57496651660218], [7.598534087543906, 47.57496980218449], [7.598538470132626, 47.574973132826024], [7.598542773113303, 47.57497650854498], [7.598546996458976, 47.574979920347715], [7.598551153487147, 47.57498337720968], [7.598555230907255, 47.57498687914911], [7.598559228692359, 47.57499041717236], [7.598563160132987, 47.57499399126122], [7.598566998674982, 47.5749976104458], [7.598570770872495, 47.57500126569601], [7.598574450171354, 47.57500496604191], [7.598578049808206, 47.57500869347807], [7.59858156980999, 47.575012456998095], [7.598585010176698, 47.57501625660199], [7.59858835761776, 47.575020092308044], [7.598591625423714, 47.57502396409795], [7.598594813567612, 47.575027862978146], [7.598597908785822, 47.575031797960484], [7.598600911051363, 47.57503576005139], [7.59860383368176, 47.57503975822617], [7.59860667662308, 47.575043774497594], [7.598609413348084, 47.575047826889474], [7.598612070410934, 47.57505190637159], [7.598614647784664, 47.5750560039504], [7.598617118942019, 47.57506013764968], [7.598619510410217, 47.57506428944559], [7.598621795635048, 47.57506846836837], [7.598624001170685, 47.57507266538778], [7.598736127344609, 47.57540708515801], [7.598737842875496, 47.57541185844307], [7.598739385682005, 47.575416649952786], [7.59874078237241, 47.575421468644144], [7.598742019629012, 47.57542630554186], [7.598743084161111, 47.57543116066415], [7.598744002523023, 47.57543602498096], [7.598744748160332, 47.57544090752234], [7.598745334336696, 47.57544579927639], [7.598745761052063, 47.575450700243195], [7.598746015015726, 47.57545561044099], [7.598746122781989, 47.57546052083962], [7.598746057742495, 47.57546542248195], [7.59874583324183, 47.57547033333696], [7.598745435935303, 47.57547523543571], [7.598744892404227, 47.575480128741624], [7.598744176067213, 47.575485013291235], [7.598743300187897, 47.575489880072624], [7.59874226479323, 47.57549473807948], [7.598741069883164, 47.57549958731176], [7.598739715376715, 47.57550440078853], [7.598738201354786, 47.57550920549073], [7.598736527763373, 47.57551398343106], [7.598734694575453, 47.575518725615915], [7.598732701844945, 47.57552345003251], [7.598730549517852, 47.575528138693564], [7.598728250884836, 47.575532791580834], [7.598725792655165, 47.575537408712556], [7.598723188119494, 47.575541990070505], [7.598720437277795, 47.57554653565466], [7.598717526785389, 47.575551027495884], [7.598714469986882, 47.57555548356329], [7.598711266828304, 47.575559885869616], [7.598654542606436, 47.575639917529536], [7.598747491123472, 47.57570841161751]], [[7.598198992570547, 47.574361137616286], [7.598210141203499, 47.57440934645754], [7.598302284046385, 47.57480031034898], [7.598302687819909, 47.574802000607136], [7.598303829324888, 47.57480594726767], [7.598305130262387, 47.57480987572243], [7.598306630450167, 47.57481376792949], [7.598308290043624, 47.57481763293715], [7.598310122306409, 47.57482146173348], [7.598312127211639, 47.57482524532486], [7.598314304786265, 47.574828992704994], [7.598316654976496, 47.574832685886484]], [[7.598316654976496, 47.574832685886484], [7.598320988441336, 47.5748373746489], [7.598325494495354, 47.57484200021896], [7.598330159794237, 47.57484654462756], [7.598334984338005, 47.57485100787467], [7.598339968153583, 47.574855398953886], [7.598345111214083, 47.57485970887159], [7.598350400202079, 47.57486392865234], [7.598355835144487, 47.57486806728976], [7.598361402696965, 47.574872106814716], [7.598367129494395, 47.57487606517807], [7.598372988901905, 47.57487992442892], [7.598378980946391, 47.57488369356094], [7.598385105600945, 47.57488736358044], [7.59839136283864, 47.574890925493776], [7.598397739395841, 47.57489438831272], [7.598404235272543, 47.57489775203738]]], ""type"": ""MultiLineString""}","47.574736830120436,7.598400927913045",,1999,HOC,Hochbergersteg
