;qid;instanceLabel;dateBirth;pic;sex;instance;STR_ESID;STN_LABEL;STN_LABEL_FINAL
54;Q12134;Q12507;9999;http://commons.wikimedia.org/wiki/Special:FilePath/Earth%20within%20celestial%20sphere.gif;;Andere;10182005;Kugelgasse;Kugel
55;Q12134;Q12507;9999;http://commons.wikimedia.org/wiki/Special:FilePath/Earth%20within%20celestial%20sphere.gif;;Andere;10076352;Kugelgasse;Kugel
56;Q12134;Q12507;9999;http://commons.wikimedia.org/wiki/Special:FilePath/Earth%20within%20celestial%20sphere.gif;;Andere;10084757;Kugelgasse;Kugel
57;Q116098;Q5;1484-12-08T00:00:00Z;http://commons.wikimedia.org/wiki/Special:FilePath/Joachim-von-Watt.jpg;male;Person;10176222;Vadianstrasse;Vadian
58;Q1596796;Q5;1811-04-08T00:00:00Z;http://commons.wikimedia.org/wiki/Special:FilePath/Heinrich%20Bosshard%20%281811%E2%80%931877%29%20Lehrer%2C%20Musiker%2C%20Dichter%2C%20Naturforscher.jpg;male;Person;10128114;Heinrich-Bosshard-Strasse;Heinrich Bosshard
59;Q27322993;Q5;9999;kein;male;Person;10118216;Max-Högger-Strasse;Max Högger
60;Q1150;Q11688446;9999;http://commons.wikimedia.org/wiki/Special:FilePath/Mercure4.jpg;male;Religion;10049304;Merkurstrasse;Merkur
61;Q1150;Q11688446;9999;http://commons.wikimedia.org/wiki/Special:FilePath/Mercure4.jpg;male;Religion;10125349;Merkurstrasse;Merkur
62;Q1150;Q11688446;9999;http://commons.wikimedia.org/wiki/Special:FilePath/Mercure4.jpg;male;Religion;10015935;Merkurstrasse;Merkur
63;Q1150;Q11688446;9999;http://commons.wikimedia.org/wiki/Special:FilePath/Mercure4.jpg;male;Religion;10016745;Merkurstrasse;Merkur
64;Q1150;Q11688446;9999;http://commons.wikimedia.org/wiki/Special:FilePath/Mercure4.jpg;male;Religion;10015824;Merkurstrasse;Merkur
65;Q1150;Q11688446;9999;http://commons.wikimedia.org/wiki/Special:FilePath/Mercure4.jpg;male;Religion;10119089;Merkurstrasse;Merkur
66;Q1150;Q11688446;9999;http://commons.wikimedia.org/wiki/Special:FilePath/Mercure4.jpg;male;Religion;10017820;Merkurstrasse;Merkur
67;Q1150;Q11688446;9999;http://commons.wikimedia.org/wiki/Special:FilePath/Mercure4.jpg;male;Religion;10154588;Merkurstrasse;Merkur
68;Q1150;Q11688446;9999;http://commons.wikimedia.org/wiki/Special:FilePath/Mercure4.jpg;male;Religion;10096494;Merkurstrasse;Merkur
69;Q1150;Q11688446;9999;http://commons.wikimedia.org/wiki/Special:FilePath/Mercure4.jpg;male;Religion;10056209;Merkurstrasse;Merkur
70;Q1150;Q11688446;9999;http://commons.wikimedia.org/wiki/Special:FilePath/Mercure4.jpg;male;Religion;10066189;Merkurstrasse;Merkur
71;Q1150;Q11688446;9999;http://commons.wikimedia.org/wiki/Special:FilePath/Mercure4.jpg;male;Religion;10030616;Merkurstrasse;Merkur
72;Q1150;Q11688446;9999;http://commons.wikimedia.org/wiki/Special:FilePath/Mercure4.jpg;male;Religion;10089091;Merkurstrasse;Merkur
