;name;name:etymology:wikidata;Unnamed: 0;STR_ESID;STN_LABEL;COM_FOSNR;COM_NAME;COM_CANTON;STR_OFFICIAL;STR_EASTING;STR_NORTHING;STN_LABEL_NO_BI;STN_LABEL_NO_TERMS;STR_TERMS;STR_PREPS;STN_LABEL_FINAL
82;Apollostrasse;Q37340;40277;10042528;Apollostrasse;6002;Brig-Glis;VS;True;2642258.0;1129443.0;Apollostrasse;Apollo;strasse;;Apollo
83;Apollostrasse;Q37340;139791;10070399;Apollostrasse;3405;Jonschwil;SG;True;2723507.0;1255999.0;Apollostrasse;Apollo;strasse;;Apollo
84;Apollostrasse;Q37340;193537;10059033;Apollostrasse;261;Zürich;ZH;True;2684399.0;1246603.0;Apollostrasse;Apollo;strasse;;Apollo
85;Neptunstrasse;Q3954;123638;10110200;Neptunstrasse;2762;Allschwil;BL;True;2609139.0;1267140.0;Neptunstrasse;Neptun;strasse;;Neptun
86;Neptunstrasse;Q3954;167166;10022239;Neptunstrasse;3203;St. Gallen;SG;True;2747461.0;1255142.0;Neptunstrasse;Neptun;strasse;;Neptun
87;Neptunstrasse;Q3954;176684;10042410;Neptunstrasse;4671;Kreuzlingen;TG;True;2730598.0;1279106.0;Neptunstrasse;Neptun;strasse;;Neptun
88;Neptunstrasse;Q3954;215857;10006984;Neptunstrasse;261;Zürich;ZH;True;2684424.0;1246819.0;Neptunstrasse;Neptun;strasse;;Neptun
89;Minervastrasse;Q126916;120292;10073007;Minervastrasse;2822;Augst;BL;True;2621493.0;1264613.0;Minervastrasse;Minerva;strasse;;Minerva
90;Minervastrasse;Q126916;203984;10004319;Minervastrasse;261;Zürich;ZH;True;2684439.0;1246684.0;Minervastrasse;Minerva;strasse;;Minerva
91;Waldmannstrasse;Q124408;80569;10175969;Waldmannstrasse;351;Bern;BE;True;2596432.0;1199663.0;Waldmannstrasse;Waldmann;strasse;;Waldmann
92;Waldmannstrasse;Q124408;144862;10107237;Waldmannstrasse;3203;St. Gallen;SG;True;2743296.0;1252889.0;Waldmannstrasse;Waldmann;strasse;;Waldmann
93;Waldmannstrasse;Q124408;174352;10100603;Waldmannstrasse;4436;Romanshorn;TG;True;2745514.0;1269524.0;Waldmannstrasse;Waldmann;strasse;;Waldmann
94;Waldmannstrasse;Q124408;196710;10004828;Waldmannstrasse;261;Zürich;ZH;True;2683686.0;1246998.0;Waldmannstrasse;Waldmann;strasse;;Waldmann
95;Spyristeig;Q123053;197080;10052366;Spyristeig;261;Zürich;ZH;True;2684673.0;1249034.0;Spyristeig;Spyristeig;;;Spyristeig
96;Beustweg;Q110831852;67561;10022339;Beustweg;843;Saanen;BE;True;2584280.0;1144573.0;Beustweg;Beust;weg;;Beust
97;Beustweg;Q110831852;213344;10004295;Beustweg;261;Zürich;ZH;True;2684197.0;1246923.0;Beustweg;Beust;weg;;Beust
98;Richard-Kissling-Weg;Q120459;203513;10058780;Richard-Kissling-Weg;261;Zürich;ZH;True;2685232.0;1247963.0;Richard-Kissling-Weg;Richard Kissling;weg;;Richard Kissling
99;Reinhardstrasse;Q119506;126870;10035174;Reinhardstrasse;4045;Wettingen;AG;True;2666448.0;1256908.0;Reinhardstrasse;Reinhard;strasse;;Reinhard
100;Reinhardstrasse;Q119506;212017;10058778;Reinhardstrasse;261;Zürich;ZH;True;2684059.0;1246379.0;Reinhardstrasse;Reinhard;strasse;;Reinhard
101;Lutherstrasse;Q9554;205342;10080521;Lutherstrasse;261;Zürich;ZH;True;2682344.0;1247624.0;Lutherstrasse;Luther;strasse;;Luther
102;Clausiusstrasse;Q30693;211562;10004221;Clausiusstrasse;261;Zürich;ZH;True;2683611.0;1248228.0;Clausiusstrasse;Clausius;strasse;;Clausius
103;Karl-Schmid-Strasse;Q1607329;216495;10136492;Karl-Schmid-Strasse;261;Zürich;ZH;True;2683798.0;1247783.0;Karl-Schmid-Strasse;Karl Schmid;strasse;;Karl Schmid
104;Emil-Klöti-Strasse;Q1336378;209138;10190089;Emil-Klöti-Strasse;261;Zürich;ZH;True;2680488.0;1251034.0;Emil-Klöti-Strasse;Emil Klöti;strasse;;Emil Klöti
105;Emil-Klöti-Strasse;Q1336378;213798;10057384;Emil-Klöti-Strasse;230;Winterthur;ZH;True;2695457.0;1261059.0;Emil-Klöti-Strasse;Emil Klöti;strasse;;Emil Klöti
106;Albert-Einstein-Strasse;Q937;197923;10202922;Albert-Einstein-Strasse;261;Zürich;ZH;True;2680498.0;1251404.0;Albert-Einstein-Strasse;Albert Einstein;strasse;;Albert Einstein
107;Albert-Einstein-Strasse;Q937;202401;10206955;Albert-Einstein-Strasse;230;Winterthur;ZH;True;2700075.0;1263641.0;Albert-Einstein-Strasse;Albert Einstein;strasse;;Albert Einstein
108;Wolfgang-Pauli-Strasse;Q65989;200380;10139558;Wolfgang-Pauli-Strasse;261;Zürich;ZH;True;2680637.0;1251319.0;Wolfgang-Pauli-Strasse;Wolfgang Pauli;strasse;;Wolfgang Pauli
109;Kinkelstrasse;Q68325;192203;10081632;Kinkelstrasse;261;Zürich;ZH;True;2683459.0;1249134.0;Kinkelstrasse;Kinkel;strasse;;Kinkel
110;Tièchestrasse;Q1609970;216708;10007017;Tièchestrasse;261;Zürich;ZH;True;2682123.0;1250315.0;Tièchestrasse;Tieche;strasse;;Tieche
111;Nägeligasse;Q1579521;65385;10062379;Nägeligasse;351;Bern;BE;True;2600628.0;1199793.0;Nägeligasse;Nägeli;gasse;;Nägeli
112;Nägeligasse;Q1579521;176034;10090155;Nägeligasse;1509;Stans;NW;True;2670354.0;1201208.0;Nägeligasse;Nägeli;gasse;;Nägeli
113;Clausiussteig;Q30693;205524;10167419;Clausiussteig;261;Zürich;ZH;True;2683665.0;1248188.0;Clausiussteig;Clausiussteig;;;Clausiussteig
114;Zehnderweg;Q2226220;160212;10025601;Zehnderweg;2581;Olten;SO;True;2634720.0;1244731.0;Zehnderweg;Zehnder;weg;;Zehnder
115;Zehnderweg;Q2226220;205706;10081645;Zehnderweg;261;Zürich;ZH;True;2683561.0;1248268.0;Zehnderweg;Zehnder;weg;;Zehnder
116;Route de la Grève;Q3118353;22025;10210719;Route de la Grève;5909;Cheseaux-Noréaz;VD;True;2542671.0;1182652.0;Route de la Grève;de la Greve;route;;Greve
117;Gessnerallee;Q123765;85960;10006630;Gessnerallee;261;Zürich;ZH;True;2682831.0;1247801.0;Gessnerallee;Gessnerallee;;;Gessnerallee
118;Zwinglistrasse;Q123034;7350;10091108;Zwinglistrasse;2964;Stein am Rhein;SH;True;2706341.0;1280432.0;Zwinglistrasse;Zwingli;strasse;;Zwingli
119;Zwinglistrasse;Q123034;73144;10105263;Zwinglistrasse;351;Bern;BE;True;2599618.0;1198124.0;Zwinglistrasse;Zwingli;strasse;;Zwingli
120;Zwinglistrasse;Q123034;110587;10101753;Zwinglistrasse;4104;Lupfig;AG;True;2657603.0;1254973.0;Zwinglistrasse;Zwingli;strasse;;Zwingli
121;Zwinglistrasse;Q123034;118062;10087453;Zwinglistrasse;2766;Birsfelden;BL;True;2613632.0;1267268.0;Zwinglistrasse;Zwingli;strasse;;Zwingli
122;Zwinglistrasse;Q123034;122304;10113189;Zwinglistrasse;2770;Muttenz;BL;True;2615029.0;1264610.0;Zwinglistrasse;Zwingli;strasse;;Zwingli
123;Zwinglistrasse;Q123034;139173;10176531;Zwinglistrasse;3203;St. Gallen;SG;True;2745626.0;1254527.0;Zwinglistrasse;Zwingli;strasse;;Zwingli
124;Zwinglistrasse;Q123034;148919;10106492;Zwinglistrasse;3340;Rapperswil-Jona;SG;True;2705967.0;1231612.0;Zwinglistrasse;Zwingli;strasse;;Zwingli
125;Zwinglistrasse;Q123034;165265;10051306;Zwinglistrasse;2546;Grenchen;SO;True;2596995.0;1227066.0;Zwinglistrasse;Zwingli;strasse;;Zwingli
