;Name;wikiQLabel;wikiQ;instance
0;Pra Jean;Pra Jean;;
0;Pra Derrey;Pra Derrey;;
0;Clos-Derrey;Clos Derrey;;
0;Route du Pra-du-Châtelet;Pra Chatelet;;
0;Chemin du Champ du Boeuf;Champ Boeuf;;
0;Chamblioux-Parc;Chamblioux Parc;;
0;Champ du Clos;Champ Clos;;
0;Les Petits-Fours;Petits Fours;;
0;Impasse du Pra-Laurent;Pra Laurent;;
0;Route du Pont du Javro;Pont Javro;;
0;Route de Pra-Bon;Pra Bon;;
0;Avenue Jean-Gambach;Jean Gambach;;
0;Champ des Moulins;Champ Moulins;;
0;Chemin de la Grange-des-Bois;Grange Bois;;
0;Impasse de Pra Novi;Pra Novi;;
0;Entre deux Ruz;Entre deux Ruz;;
0;En Crêt-Rinnaud;Cret Rinnaud;;
0;Devant l'Institut;Devant Institut;;
0;Murs Blancs d'Amont;Murs Blancs Amont;;
0;Impasse de la Vieille-Cure;Vieille Cure;;
0;Soleil-levant;Soleil levant;;
0;Avenue Jean-de-Montenach;Jean Montenach;;
0;Chemin du Champ-Cavin;Champ Cavin;;
0;Chemin Jean-Crotti;Jean Crotti;http://www.wikidata.org/entity/Q670319;Mensch
0;Route de la Côte-Sud;Cote Sud;;
0;Champ-de-la-Croix;Champ Croix;;
0;Undere Birbaumena;Undere Birbaumena;;
0;Impasse Granges-Philing;Granges Philing;;
0;Chemin du Bois près de la Glâne;Bois pres Glane;;
0;Rue du Clos-de-Lien;Clos Lien;;
0;Derrière le Mont;Derriere Mont;;
0;Crau à Bourret;Crau Bourret;;
0;Pré-de-la-Chapelle;Pre Chapelle;;
0;Route du Haut-Lac;Haut Lac;;
0;Rue de la Porte-d'En-Bas;Porte Bas;;
0;Champ-des-Pierres;Champ Pierres;;
0;Rue Petermann-Aymon-de-Faucigny;Petermann Aymon Faucigny;;
0;Impasse Fin du Motty;Fin Motty;;
0;Chemin de la Fin du Clos;Fin Clos;;
0;Sus Cressin;Sus Cressin;;
0;Champ-Fleuri;Champ Fleuri;http://www.wikidata.org/entity/Q2948544;Stadtviertel oder Ortsteil
0;Chemin du Bois-de-la-Corbaz;Bois Corbaz;;
0;Au Bas des Moulins;Bas Moulins;;
0;Esserts Dessus;Esserts Dessus;;
0;Chemin des Longs-Praz;Longs Praz;;
0;Chemin de Villars-Jordon;Villars Jordon;;
0;Chemin de Vers-St-Pierre;Vers Pierre;;
0;Ruelle Pierre-Moehr;Pierre Moehr;;
0;Chemin du Clos-du-Moulin;Clos Moulin;;
0;Vers les Roulin;Vers Roulin;;
0;Chemin du Creux-Guillod;Creux Guillod;;
0;Chemin Vers-les-Galley;Vers Galley;;
0;Joux des Ponts;Joux Ponts;;
0;Pré-Perretta;Pre Perretta;;
0;Chemin du Pré-des-Eaux;Pre Eaux;;
0;Impasse des Bons-Pâquiers;Bons Paquiers;;
0;Impasse Clos-Fleuri;Clos Fleuri;;
0;Route du Pra-Maudry;Pra Maudry;;
0;Granges la Battia;Granges Battia;;
0;Z.I. d'In-Riaux;Z I  Riaux;;
0;Impasse de Pra-Marais;Pra Marais;;
0;Rue Max-von-Sachsen;Max von Sachsen;;
0;Champ-Romain;Champ Romain;;
0;Chemin du Bas de l'Etang;Bas Etang;;
0;Chemin Pré-de-Chêne;Pre Chene;;
0;Pra d'Amont;Pra Amont;;
0;Rue Victor-Tissot;Victor Tissot;http://www.wikidata.org/entity/Q3557604;Mensch
0;Chemin du Champ-Blanchet;Champ Blanchet;;
0;Chemin du Vany-Blanc;Vany Blanc;;
0;Rue de la Basse-Ville;Basse Ville;;
0;Gros Essert;Gros Essert;;
0;Entre-deux-Chemins;Entre deux Chemins;;
0;Pré-de-la-Cour;Pre Cour;;
0;Pré-au-Blanc;Pre Blanc;;
0;Avenue Jean-Marie-Musy;Jean Marie Musy;;
