DIC_UID;DIC_Berufe;DIC_Lebewesen;DIC_Ortschaft;DIC_Gewässer;DIC_Berge
136;Bodenleger, Bodenlegerin;Distel;Herrliberg;Gelmersee;Hilferen
137;Bogenmacher, Bogenmacherin;Djambubaum;Hombrechtikon;Lac des Toules;Hirzel
138;Bootsbauer, Bootsbauerin (Fachrichtungen: 1. Neu-, Aus- und Umbau 2. Technik);Donarsbart;Feldbach;Davoser See;Hirzel Höhi
139;Börsenmakler;Doppelbeere;Forch;Schwarzsee;Hulftegg
140;Bote, Botin;Doppelsame;Küsnacht ZH;Lac du Vieux Emosson;Ibergeregg
141;Böttcher, Böttcherin;Dost;Männedorf;Lago di Lucendro;Jaman
142;Boxer, Boxerin;Douglasie;Meilen;Mauensee;Jaun
143;Bratscher;Dreimasterblume;Oetwil am See;Melchsee;Julier
144;Bratschist, Bratschistin;Drachenbaum;Stäfa;Stausee Niederried;Kerenzerberg
145;Brauer, Brauerin;Drachenblutbaum;Uerikon;Türlersee;Klausen
146;Brauer und Mälzer, Brauerin und Mälzerin;Drachenkopf;Uetikon am See;Lac de Cleuson;Kunkels
147;Brenner, Brennerin;Drachenmaul;Zumikon;Lac de Brêt;Lein
148;Briefbote, Briefbotin;Dreidorn;Zollikerberg;Lago dei Cavagnöö;Lenzerheide
149;Briefträger, Briefträgerin;Dreizack;Zollikon;Rotsee;Livigno
150;Brunnenbauer, Brunnenbauerin;Dreizahn;Fehraltorf;Engstlensee;Lukmanier
151;Brunnenputzer;Dumpalme;Hittnau;Lac des Taillères;Maloja
152;Buchbinder, Buchbinderin;Duwock;Kemptthal;Lago della Sella;Marchairuz
153;Buchdrucker, Buchdruckerin;Eberesche;Grafstal;Arnensee;Mollendruz
154;Buchhalter, Buchhalterin;Eberwurz;Winterberg ZH;Muttsee;Mont Crosin
155;Buchhändler, Buchhändlerin;Edelweiß;Lindau;Lago Tremorgio;Mont d'Orzeires
156;Buchmacher, Buchmacherin;Efeu;Tagelswangen;Barrage de Biaufond;Monte Ceneri
157;Büchsenmacher, Büchsenmacherin;Ehrenpreis;Pfäffikon ZH;Lej Roseg;Montvoie
158;Büchsenspanner, Büchsenspannerin;Eibisch;Auslikon;Stausee Ranasca;Morgins
159;Bühnenmaler, Bühnenmalerin;Eiche;Madetswil;Amsoldingersee;Mosses
160;Bühnenmaler und Bühnenplastiker, Bühnenmaler und Bühnenplastikerin (Fachrichtungen: 1. Malerei 2. Plastik);Einbeere;Gündisau;Obersee;Mutschellen
161;Bühnentänzer, Bühnentänzerin;Einkorn;Russikon;Lago d'Isola;Neggia
162;Bundeskanzler, Bundeskanzlerin;Eisblume;Rumlikon;Ova Spin;Nufenen
163;Bundespolizist, Bundespolizistin;Eisenhut;Weisslingen;;Oberalp
164;Bundespräsident, Bundespräsidentin;Eisenkraut;Neschwil;;Oberer Hauenstein
165;Bundestagspräsident, Bundestagspräsidentin;Eleutherococcus;Theilingen;;Oberricken
166;Bundesrat, Bundesrätin;Emmer;Wila;;Ofen
167;Bundeswehrsoldat, Bundeswehrsoldatin;Engelsüß;Wildberg;;Orn
168;Bürokauffrau, Bürokaufmann;Engelwurz;Schalchen;;Passwang
169;Bürokraft;Enzian;Ehrikon;;Pierre Pertuis
170;Bürsten- und Pinselmacher, Bürsten- und Pinselmacherin (Fachrichtungen: 1. Bürstenherstellung 2. Pinselherstellung);Ephedra;Gockhausen;;Pillon
171;Busfahrer, Busfahrerin;Erdbeerbaum;Dübendorf;;Planches
172;Butler;Erdbeere;Egg b. Zürich;;Pontins
173;Büttel;Erdnuss;Hinteregg;;Pragel
174;Butterfrau;Erdrauch;Esslingen;;Randenüberfahrt
175;Cartoonist, Cartoonistin;Erzengelwurz;Fällanden;;Rangiers
176;Caterer;Esche;Pfaffhausen;;Raten
177;Cellist, Cellistin;Eselsdistel;Benglen;;Rengg
178;Chauffeur, Chauffeuse;Esparsette;Greifensee;;Ricken
179;Chef, Chefin;Estragon;Binz;;Roches
180;Chefarzt, Chefärztin;Eukalyptus;Ebmatingen;;Ruppen
181;Chefkellner, Chefkellnerin;Euphorbium;Maur;;Rüsler
182;Chefkoch, Chefköchin;Fabianakraut;Mönchaltorf;;Saanenmöser
183;Chefredakteur, Chefredakteurin;Fadenhirse;Schwerzenbach;;Salhöhe
184;Chemiebetriebsjungwerker, Chemiebetriebsjungwerkerin;Färberdistel;Nänikon;;San Bernardino
185;Chemielaborant, Chemielaborantin;Färberginster;Uster;;Sanetsch
186;Chemielaborjungwerker, Chemielaborjungwerkerin;Farn;Sulzbach;;Santelhöchi
187;Chemikant, Chemikantin;Faulbaum;Wermatswil;;Sattel
188;Chemiker, Chemikerin;Feigenbaum;Freudwil;;Sattelegg
189;Chemisch-technischer Assistent, Chemisch-technische Assistentin;Felberich;Riedikon;;Schafmatt
190;Chirurg, Chirurgin;Feldsalat;Volketswil;;Schallenberg
191;Chirurgiemechaniker, Chirurgiemechanikerin;Feldthymian;Gutenswil;;Schelten
192;Chocolatier, Chocolatiere;Felsenbirne;Brüttisellen;;Schönau
193;Choreograf, Choreografin;Fenchel;Wangen b. Dübendorf;;Schufelberger Egg
194;Choreograph, Choreographin;Fenchelholz;Altikon;;Schwägalp
195;Clown;Fennich;Brütten;;Schwarzenbühl
196;Coach;Ferkelkraut;Rutschwil (Dägerlen);;Siblingerhöhe
197;Custos, Custodin;Fetthenne;Dägerlen;;Simplon
198;Cutter, Cutterin;Fettkraut;Oberwil (Dägerlen);;Splügen
199;Dachdecker, Dachdeckerin (Fachrichtungen: 1. Dach-, Wand-, und Abdichtungstechnik 2. Reetdachtechnik);Fichte;Berg (Dägerlen);;St. Anton
200;Damenschneider, Damenschneiderin;Fichtenspargel;Bänk (Dägerlen);;Gotthard
201;Datenbankadministrator, Datenbankadministratorin;Fieberklee;Dättlikon;;Luzisteig
202;Dekorateur, Dekorateurin;Fingerhut;Dinhard;;Staffelegg
203;Dekorvorlagenhersteller, Dekorvorlagenherstellerin;Fioringras;Ellikon an der Thur;;Stoss
204;Demograf, Demografin;Fischkraut;Elsau;;Susten
205;Demograph, Demographin;Flachs;Hagenbuch ZH;;Tourne
206;Denkmaltechnische Assistentin, Denkmaltechnischer Assistent;Flatterbinse;Hettlingen;;Tronc
207;Dentist, Dentistin;Flieder;Aesch (Neftenbach);;Umbrail
208;Dermatologe, Dermatologin;Flohsamenkraut;Riet (Neftenbach);;Unterer Hauenstein
209;Designer, Designerin (Fachrichtungen: 1. angewandte Formgebung, Schmuck und Gerät 2. Foto 3. Grafik 4. Kommunikationsdesign 5. Medien 6. Mode);Föhre;Hünikon (Neftenbach);;Vorder Höhi
210;Destillateur, Destillateurin;Forsythie;Neftenbach;;Vue des Alpes
211;Detektiv, Detektivin;Franzosenholz;Pfungen;;Wasserfluh
212;Devotionalienhändler, Devotionalienhändlerin;Frauenmantel;Rickenbach ZH;;Weissenstein
213;Diakon, Diakonisse;Frauenschuh;Rickenbach Sulz;;Wildhaus
214;Diamantschleifer, Diamantschleiferin;Frauenspiegel;Schlatt ZH;;Wissegg
215;Diätassistent, Diätassistentin;Frauenwurzel;Seuzach;;Wolfgang
216;Dichter, Dichterin;Froschbiss;Turbenthal;;Albis
217;Dieb, Diebin;Fuchskreuzkraut;Schmidrüti;;Aletschhorn
218;Diener, Dienerin;Fuchsschwanz;Ricketwil (Winterthur);;Allalinhorn
219;Dienstmädchen;Galbanum;Winterthur;;Alperschällihorn
220;Dienstmagd;Galgant;Winterthur;;Alphubel
221;Dienstmann;Gamander;Reutlingen (Winterthur);;Altels
222;Diplomat, Diplomatin;Gänseblümchen;Stadel (Winterthur);;Altenalptürm
223;Direktionsassistent, Direktionsassistentin;Gänsefingerkraut;Winterthur;;Altmann
224;Direktor, Direktorin;Gänsefuß;Winterthur;;Alvier
225;Direktrice;Garaus;Winterthur;;Aubrig
226;Dirigent, Dirigentin;Gartenrose;Winterthur;;Bächenstock
227;Discjockey;Gartenpflanze;Sennhof (Winterthur);;Bächistock
228;Dispatcher, Dispatcherin;Gauchheil;Kollbrunn;;Bachtel
229;Disponent, Disponentin;Gedenkemein;Rikon im Tösstal;;Badus
230;Doktor, Doktorin;Geißbart;Zell ZH;;Balmhorn
231;Doktorand, Doktorandin;Geißblatt;Rämismühle;;Basodino
232;Dokumentar, Dokumentarin;Geißraute;Aesch ZH;;Bella Tola
233;Dolmetscher, Dolmetscherin;Gelbwurzel;Birmensdorf ZH;;Bellavista
234;Dompteur, Dompteuse;Georgine;Dietikon;;Bietschhorn
235;Doppelgänger, Doppelgängerin von Schauspielern;Geranie;Fahrweid;;Bifertenstock
236;Double;Gerste;Geroldswil;;Blüemlisalp
237;Dozent, Dozentin;Gewürzsumach;Oberengstringen;;Blüemlisalp Rothorn
238;Drahtwarenmacher, Drahtwarenmacherin;Giftbeere;Oetwil an der Limmat;;Born
239;Drahtzieher, Drahtzieherin;Giftsumach;Schlieren;;Bös Fulen
240;Drechsler, Drechslerin (Fachrichtungen: 1. Drechseln 2. Elfenbeinschnitzen);Giftpflanze;Uitikon Waldegg;;Breithorn 
241;Dreher, Dreherin;Ginkgo;Unterengstringen;;Breithorn 
242;Drescher;Ginseng;Urdorf;;Brienzer Rothorn
243;Drogist, Drogistin;Ginster;Weiningen ZH;;Brisen
244;Droschkenfahrer, Droschkenfahrerin;Gnadenkraut;Zürich;;Brisi
245;Droschkenkutscher, Droschkenkutscherin;Goldlack;Zürich;;Brünnelistock
246;Drucker, Druckerin;Goldmelisse;Zürich;;Bruschghorn
247;Dudelsackpfeifer, Dudelsackpfeiferin;Goldregen;Zürich;;Burgfeldstand
248;Ebenist, Ebenistin;Goldrute;Zürich;;Camoghè
249;Edelmetallprüfer, Edelmetallprüferin;Goldulme;Zürich;;Castor
250;Edelsteinfasser, Edelsteinfasserin;Gottesgnadenkraut;Zürich;;Chasseral
251;Edelsteingraveur, Edelsteingraveurin;Granatapfelbaum;Zürich;;Chasseron
252;Edelsteinschleifer, Edelsteinschleiferin;Gras;Zürich;;Chli Rinderhorn
253;Einbrecher, Einbrecherin;Guajak;Zürich;;Chli Windgällen
254;Einsatzleiter, Einsatzleiterin;Guarana;Zürich;;Chöpfenberg
255;Einzelhandelskauffrau, Einzelhandelskaufmann;Guave;Zürich;;Chrüzberg
256;Eisenbahner, Eisenbahnerin (im Betriebsdienst, Fachrichtungen: 1. Fahrweg, 2. Lokführer/-in und Transport);Gundelrebe;Zürich;;Chumigalm
257;Eisenflechter, Eisenflechterin;Gundermann;Zürich;;Clariden
258;Eiskunstläufer, Eiskunstläuferin;Habichtskraut;Zürich;;Dammastock
259;Eismann, Eisfrau;Hafer;Zürich;;Daubenhorn
260;Elektriker, Elektrikerin;Hagebutte;Zürich;;Dent Blanche
261;Elektroanlagenmonteur, Elektroanlagenmonteurin;Hahnenfuß;Zürich;;Dent de Vaulion
262;Elektroinstallateur, Elektroinstallateurin;Hahnenkamm;Zürich;;Dent du Salantin
263;Elektromaschinenbauer, Elektromaschinenbauerin;Hainbuche;Zürich;;Dents du Midi
264;Elektromechaniker, Elektromechanikerin;Hamamelis;Zürich;;Dirruhorn
265;Elektroniker, Elektronikerin (Fachrichtungen: 1. Automatisierungstechnik (Handwerk) 2. Energie- und Gebäudetechnik 3. Informations- und Telekommunikationstechnik);Hanf;Zürich;;Doldenhorn
266;Elektroniker für Automatisierungstechnik (Industrie);Haronga;Zürich;;Dreieckhorn
267;Elektroniker für Betriebstechnik, Elektronikerin für Betriebstechnik;Haselwurz;Zürich;;Dufourspitze
268;Elektroniker für Gebäude- und Infrastruktursysteme, Elektronikerin für Gebäude- und Infrastruktursysteme;Hasenohr;Waltalingen;;Eiger
269;Elektroniker für Geräte und Systeme, Elektronikerin für Geräte und Systeme;Hauhechel;Guntalingen;;Engelberger Rotstock
270;Elektroniker für luftfahrttechnische Systeme, Elektronikerin für luftfahrttechnische Systeme;Hauswurz;Unterstammheim;;Etzel
271;Elektroniker für Maschinen- und Antriebstechnik, Elektronikerin für Maschinen- und Antriebstechnik;Hechtkraut;Oberstammheim;;Fänerenspitz
272;Elektrotechnische Assistentin, Elektrotechnischer Assistent;Heckenrose;Wilen b. Neunforn;;Faulhorn
273;Energieelektroniker, Energieelektronikerin;Hederich;Au ZH;;Fellihorn
274;Entomologe, Entomologin;Heidekraut;Wädenswil;;Calanda
275;Entwickler, Entwicklerin;Heidelbeere;Schönenberg ZH;;Fil de Cassons
276;Ergotherapeut, Ergotherapeutin;Heilpflanze;Hütten;;Finsteraarhorn
277;Erntehelfer, Erntehelferin;Heilziest;Elgg;;Fisistock, Innerer
278;Ersatzdarsteller, Ersatzdarstellerin;Herbstzeitlose;Hofstetten ZH;;Fronalpstock
279;Ersatzmann, Ersatzfrau;Herzblatt;Dickbuch;;Frümsel
280;Erzieher, Erzieherin;Herzgespann;Sihlbrugg Station;;Furggelenstock
281;Estrichleger, Estrichlegerin;Hexenkraut;Sihlwald;;Gäbris
282;Essenkehrer, Essenkehrerin;Hibiskus;Horgen;;Gauschla
283;Ethnologe, Ethnologin;Himbeere;Horgenberg;;Glishorn
284;Ewerführer;Hirschwurz;Hirzel;;Gonzen
285;Exportkauffrau, Exportkaufmann;Hirse;Effretikon;;Grand Combin
286;Fabrikarbeiter, Fabrikarbeiterin;Hirtentäschel;Ottikon b. Kemptthal;;Gross Schärhorn
287;Fachangestellte, Fachangestellter;Hohldotter;Illnau;;Gross Windgällen
288;Fachangestellte für Arbeitsförderung, Fachangestellter für Arbeitsförderung;Hohlzahn;Agasul;;Gspaltenhorn
289;Fachangestellte für Arbeitsmarktdienstleistungen, Fachangestellter für Arbeitsmarktdienstleistungen;Hohlzunge;Kyburg;;Günerhorn
290;Fachangestellte für Bäderbetriebe, Fachangestellter für Bäderbetriebe;Holunder;Saland;;Gurten
291;Fachangestellte für Bürokommunikation, Fachangestellter für Bürokommunikation;Hopfen;Bauma;;Gwächtenhorn
292;Fachangestellte für Markt- und Sozialforschung, Fachangestellter für Markt- und Sozialforschung;Hopfenbuche;Sternenberg;;Hahnen
