DIC_UID;DIC_Berufe;DIC_Lebewesen;DIC_Ortschaft;DIC_Gewässer;DIC_Berge
;Sanforisierer;;;;
;Sanforizzatore;;;;
;Sänger;;;;
;Sanitäranlageninstallateur;;;;
;Sanitäranlagenmonteur;;;;
;Sanitärchefinstallateur;;;;
;Sanitärinstallateur;;;;
;Sanitärinstallationsarbeiter;;;;
;Sanitärinstallationsingenieur;;;;
;Sanitärinstallationstechniker;;;;
;Sanitärmeister;;;;
;Sanitärmonteur;;;;
;Sanitärplaner;;;;
;Sanitärreparateur;;;;
;Sanitärspengler;;;;
;Sanitärtechniker;;;;
;Sanitärvorarbeiter;;;;
;Sanitärzeichner;;;;
;Sanitäter;;;;
;Sanitätsträger;;;;
;Sanscritista;;;;
;Sanskritologe;;;;
;Sanskritologue;;;;
;SAP-Berater;;;;
;Sapeur-pompier;;;;
;Sapeur-pompier professionnel;;;;
;Sarto;;;;
;Sarto da confezione;;;;
;Sarto da donna;;;;
;Sarto da uomo;;;;
;Sarto in biancheria;;;;
;Sarto industriale;;;;
;Sarto ritoccatore;;;;
;Sarto, maestro;;;;
;Sassofonista;;;;
;Satinatore, carta;;;;
;Satineur, papier;;;;
;Sattler;;;;
;Sattlergehilfe;;;;
;Sattlermeister;;;;
;Sattler-Tapezierermeister;;;;
;Satzbearbeiter;;;;
;Saucenkoch;;;;
;Saucier;;;;
;Säuglingspfleger;;;;
;Saunaleiter;;;;
;Sauveteur;;;;
;Saxophonist;;;;
;Saxophoniste;;;;
;Saxophonlehrer;;;;
;Sbavatore di ferro;;;;
;Sbavatore di fonderia;;;;
;Sbavatore di metalli;;;;
;Sbavatore di nuclei;;;;
;Sbavatore su ceramica;;;;
;SBB-Betriebsbeamter, Schienenverkehrsregelung;;;;
;Sbozzatore (industria orologiera);;;;
;Scalpellino;;;;
;Scalpellino da laboratorio;;;;
;Scalpellino lucidatore;;;;
;Scambista;;;;
;Scanalatore;;;;
;Scandagliatore minerario;;;;
;Scandinavista;;;;
;Scandinaviste;;;;
;Scanner-Operator;;;;
;Scaphandrier;;;;
;Scasellatore (lavorazione della ceramica);;;;
;Scavatore di pozzi;;;;
;Scénariste;;;;
;Sceneggiatore;;;;
;Scenografo;;;;
;Scénographe;;;;
;Scenotecnico;;;;
;Schaber (Feinmechaniker);;;;
;Schablonenmacher;;;;
;Schachtelmacher;;;;
;Schachtrainer;;;;
;Schadenexperte;;;;
;Schadeninspektor;;;;
;Schadensachbearbeiter;;;;
;Schädlingsbekämpfer;;;;
;Schafbauer;;;;
;Schäfer;;;;
;Schaffner;;;;
;Schafhirt;;;;
;Schafscherer;;;;
;Schafzüchter;;;;
;Schaler;;;;
;Schallisolierer;;;;
;Schallplattenproduzent;;;;
;Schaltanlagenmonteur;;;;
;Schalterbeamter SBB;;;;
;Schalterbeamter, Post;;;;
;Schaltungsmonteur;;;;
;Schärer;;;;
;Schärfer, Uhrenindustrie;;;;
;Schätzer;;;;
;Schaufensterdekorateur;;;;
;Schaufenstergestalter;;;;
;Schäumer (Schaumgummifabrik);;;;
;Schauspieler;;;;
;Schauspiellehrer;;;;
;Schausteller;;;;
;Scherer;;;;
;Scherführer;;;;
;Schichtführer Elektrizitäts-/Wasserkraftwerk;;;;
;Schichtführer Elektrizitätswerk;;;;
;Schichtführer Fabrikation;;;;
;Schichtführer Wasserkraftwerk;;;;
;Schichtführer, Ausbaugewerbe;;;;
;Schichtführer, Bauhauptgewerbe;;;;
;Schichtführer, Industrie;;;;
;Schichtführer, Produktion;;;;
;Schiedsrichter, Sport;;;;
;Schienenfahrzeugführer;;;;
;Schienenrichter;;;;
;Schiessmeister;;;;
;Schiessplatzaufseher;;;;
;Schiessplatzchef;;;;
;Schiffbauingenieur;;;;
;Schiffer;;;;
;Schifffahrtskaufmann;;;;
;Schiffsbauer;;;;
;Schiffsführer;;;;
;Schiffsinspektor (öffentlicher Dienst);;;;
;Schiffsinspektor (Privatwirtschaft);;;;
;Schiffskapitän;;;;
;Schiffsmann;;;;
;Schiffsmaschineningenieur;;;;
;Schiffsmaschinentechniker;;;;
;Schiffsmaschinist;;;;
;Schiffsmechaniker;;;;
;Schiffsoffizier;;;;
;Schiffsschreiner;;;;
;Schiffssteward;;;;
;Schiffstransportleiter;;;;
;Schiffsvermieter;;;;
;Schildermaler;;;;
;Schlaflaborassistent;;;;
;Schlafwagenschaffner;;;;
;Schlagzeuger;;;;
;Schlagzeuglehrer;;;;
;Schleudermaschinenarbeiter (in Textilindustrie);;;;
;Schleusenwärter;;;;
;Schlittschuhvermieter;;;;
;Schlosser;;;;
;Schlosser im Baugewerbe;;;;
;Schlossereiarbeiter;;;;
;Schlossereitechniker;;;;
;Schlossermeister;;;;
;Schlosser-Schweisser;;;;
;Schlossmacher;;;;
;Schlüsselmacher;;;;
;Schlüssler;;;;
;Schmelzer;;;;
;Schmied;;;;
;Schmied-Hufschmiedmeister;;;;
;Schmiedmeister;;;;
;Schmuck- und Gerätegestalter;;;;
;Schmuckdesigner;;;;
;Schmuckexperte;;;;
;Schmuckgestalter;;;;
;Schnapsbrenner;;;;
;Schneesportlehrer;;;;
;Schneider;;;;
;Schneidereiarbeiter;;;;
;Schneidermeister;;;;
;Schnittblumengärtner;;;;
;Schnittdirektor;;;;
;Schnittmacher;;;;
;Schnittmusterzeichner;;;;
;Schnitttechniker (Bekleidung);;;;
;Schnürmeister;;;;
;Schokoladenfabrikarbeiter;;;;
;Schönheitsberater;;;;
;Schönheitspfleger;;;;
;Schornsteinfeger;;;;
;Schraubenmacher;;;;
;Schreibmaschinenreparateur;;;;
;Schreiner;;;;
;Schreiner, Bau und Fenster;;;;
;Schreiner, Möbel und Innenausbau;;;;
;Schreiner, Skibau;;;;
;Schreiner, Wagner;;;;
;Schreinereidirektor;;;;
;Schreinermaschinist;;;;
;Schreinermeister;;;;
;Schreinerpraktiker;;;;
;Schreinervorarbeiter;;;;
;Schreiner-Werkmeister;;;;
;Schreiner-Werkstattchef;;;;
;Schriften- und Reklamegestalter;;;;
;Schriftengrafiker;;;;
;Schriftenkontrolleur;;;;
;Schriftenmacher;;;;
;Schriftenmaler;;;;
;Schriftgutrestaurator;;;;
;Schriftsetzer;;;;
;Schriftsteller;;;;
;Schuharbeiter;;;;
;Schuhmacher;;;;
;Schuhmachermeister;;;;
;Schuhmaschinenbediener;;;;
;Schuhputzer;;;;
;Schulassistent;;;;
;Schulberater;;;;
;Schulbusfahrer;;;;
;Schuldirektor;;;;
;Schuldirektor an Mittelschule;;;;
;Schuldirektor an Primarschule;;;;
;Schuldirektor einer Berufsschule;;;;
;Schulevaluator;;;;
;Schulgutsverwalter;;;;
;Schulhausabwart;;;;
;Schulhelfer;;;;
;Schulinspektor;;;;
;Schulischer Heilpädagoge;;;;
;Schulkommandant;;;;
;Schulleiter;;;;
;Schulmusiker;;;;
;Schulpfleger;;;;
;Schulpräsident;;;;
;Schulpsychologe;;;;
;Schulrat;;;;
;Schulungsleiter;;;;
;Schulverwalter;;;;
;Schulverwaltungsleiter;;;;
;Schulzahnpflegeinstruktor;;;;
;Schweifer;;;;
;Schweinezüchter;;;;
;Schweinezuchtgehilfe;;;;
;Schweisser;;;;
;Schweisser-Monteur;;;;
;Schweissfachmann;;;;
;Schweisspraktiker;;;;
;Schweizergardist;;;;
;Schwerhörigenlehrer;;;;
;Schwesternhilfe;;;;
;Schwimmbadanlagemonteur;;;;
;Schwimmbadbauer;;;;
;Schwimmbadleiter;;;;
;Schwimmbadtechniker;;;;
;Schwimmer;;;;
;Schwimminstruktor;;;;
;Schwimmlehrer;;;;
;Schwimmsportlehrer;;;;
;Sciatore professionista;;;;
;Scientifique des médias;;;;
;Scientifique en matière d'éducation;;;;
;Scientifique en sciences de la terre;;;;
;Scientifique sur ordinateur;;;;
;Scieur à la scie alternative horizontale;;;;
;Scieur à la scie circulaire;;;;
;Scieur à la scie verticale;;;;
;Scieur de béton;;;;
;Scieur de l'industrie du bois;;;;
;Scieur de pierre;;;;
;Scieur sur métal;;;;
;Scortecciatore;;;;
;Screen Communicator;;;;
;Screen Communicator;;;;
;Screen Communicator;;;;
;Screen Designer;;;;
;Screen Designer;;;;
;Screen Designer;;;;
;Script;;;;
;Script;;;;
;Scrittore;;;;
;Scrivano pubblico;;;;
;Sculpteur;;;;
;Sculpteur sur bois;;;;
;Sculpteur sur pierre;;;;
;Sculpteur-artiste;;;;
;Scultore artistico;;;;
;Scultore su legno;;;;
;Scultore su pietra;;;;
;Secchiaio;;;;
;Sécheur;;;;
;Sécheur (industrie textile);;;;
;Sécheur de bâtiments;;;;
;Sécheur de bois;;;;
;Secouriste routier;;;;
;Secrétaire;;;;
;Secrétaire à l'office des contributions;;;;
;Secrétaire à l'office des tutelles;;;;
;Secrétaire au service de la jeunesse;;;;
;Secrétaire au service social;;;;
;Secrétaire central;;;;
;Secrétaire communal;;;;
;Secrétaire d'administration;;;;
;Secrétaire d'ambassade;;;;
;Secrétaire dans l'administration;;;;
;Secrétaire d'association;;;;
;Secrétaire d'avocat;;;;
;Secrétaire de chambre de commerce;;;;
;Secrétaire de chancellerie;;;;
;Secrétaire de commerce;;;;
;Secrétaire de conseil;;;;
;Secrétaire de conseil communal;;;;
;Secrétaire de département;;;;
;Secrétaire de direction;;;;
;Secrétaire de division;;;;
;Secrétaire de l'assistance publique;;;;
;Secrétaire de médecin;;;;
;Secrétaire de notaire;;;;
;Secrétaire de parti;;;;
;Secrétaire de réception;;;;
;Secrétaire de syndicat;;;;
;Secrétaire de tribunal;;;;
;Secrétaire d'état;;;;
;Secrétaire d'exploitation;;;;
;Secrétaire d'exploitation postale;;;;
;Secrétaire d'hôpital;;;;
;Secrétaire diplômé;;;;
;Secrétaire du personnel;;;;
;Secrétaire du registre foncier;;;;
;Secrétaire en langues étrangères;;;;
;Secrétaire fédéral;;;;
;Secrétaire général;;;;
;Secrétaire général (administration publique);;;;
;Secrétaire général suppléant;;;;
;Secrétaire général suppléant (administration publique);;;;
;Secrétaire juridique;;;;
;Secrétaire médical;;;;
;Secrétaire municipal;;;;
;Secrétaire syndical;;;;
;Secrétaire, chef de bureau;;;;
;Secrétaire-comptable;;;;
;Secrétaire-réceptionniste;;;;
;Security Operations Analyst;;;;
;Security Operations Analyst;;;;
;Security Operations Engineer;;;;
;Security Operations Engineer;;;;
;Seelsorgemitarbeiter;;;;
;Seemann;;;;
;Seepolizist;;;;
;Segantino di produzione per l'industria del legno;;;;
;Segatore alla circolare (lavorazione del legno);;;;
;Segatore di metalli;;;;
;Segatore di pietre;;;;
;Segatore su sega multilame orizzontale;;;;
;Segatore su sega multilame verticale;;;;
;Segellehrer;;;;
;Segler;;;;
;Segretario;;;;
;Segretario all'assistenza sociale;;;;
;Segretario all'ufficio tutele;;;;
;Segretario amministrativo;;;;
;Segretario centrale;;;;
;Segretario comunale;;;;
;Segretario contabile;;;;
;Segretario d'ambasciata;;;;
;Segretario d'amministrazione;;;;
;Segretario d'associazione;;;;
;Segretario d'avvocato;;;;
;Segretario del consiglio;;;;
;Segretario del consiglio comunale;;;;
;Segretario del personale;;;;
;Segretario del registro fondiario;;;;
;Segretario del servizio della gioventù;;;;
;Segretario del servizio sociale;;;;
;Segretario d'esercizio;;;;
;Segretario di camera di commercio;;;;
;Segretario di cancelleria;;;;
;Segretario di commercio;;;;
;Segretario di dipartimento;;;;
;Segretario di direzione;;;;
;Segretario di divisione;;;;
;Segretario di notaio;;;;
;Segretario di ricezione;;;;
;Segretario di Stato;;;;
;Segretario di studio legale;;;;
;Segretario di studio medico;;;;
;Segretario di studio notarile;;;;
;Segretario di tribunale;;;;
;Segretario d'ospedale;;;;
;Segretario esercizio postale;;;;
;Segretario federale;;;;
;Segretario fiscale;;;;
;Segretario generale;;;;
;Segretario generale (amministrazione pubblica);;;;
;Segretario generale (economia privata);;;;
;Segretario generale supplente;;;;
;Segretario generale supplente (amministrazione pubblica);;;;
;Segretario giudiziario;;;;
;Segretario medico;;;;
;Segretario partitico;;;;
;Segretario poliglotta;;;;
;Segretario ricezionista;;;;
;Segretario sindacale;;;;
;Segretario, capoufficio;;;;
;Seidenmaler;;;;
;Seidenraupenzüchter;;;;
;Seilbahnarbeiter;;;;
;Seilbahner;;;;
;Seilbahnfachmann;;;;
;Seilbahnführer;;;;
;Seilbahnmanager;;;;
;Seilbahnmaschinist;;;;
;Seilbahnmechaniker;;;;
;Seilbahn-Mechatroniker;;;;
;Seilbahnmonteur;;;;
;Seiler;;;;
;Seilkran-Einsatzleiter;;;;
;Seismologe;;;;
;Sekretär;;;;
;Sekretär (öffentlicher Schreibservice);;;;
;Sekretär-Buchhalter;;;;
;Sekretär-Bürochef;;;;
;Sekretärdiplom;;;;
;Sekretariatsangestellter;;;;
;Sekretariatsassistent;;;;
;Sekretariatsleiter;;;;
;Sekretär-Receptionist;;;;
;Sektionschef (öffentlicher Dienst);;;;
;Sekundarlehrer;;;;
;Selbstverteidigungslehrer;;;;
;Selciatore;;;;
;Selezionatore di merci;;;;
;Sellaio;;;;
;Sellaio da carrozzeria;;;;
;Sellaio d'automobili;;;;
;Sellaio di carrozzeria, maestro;;;;
;Sellaio tappezziere, maestro;;;;
;Sellier;;;;
;Sellier automobile;;;;
;Sellier-tapissier, maître;;;;
;Selvicoltore;;;;
;Selvicoltore caposquadra;;;;
;Sémanticien;;;;
;Semantiker;;;;
;Seminarlehrer;;;;
;Seminarleiter;;;;
;Sémioticien;;;;
;Semiotico;;;;
;Semiotiker;;;;
;Sendeleiter;;;;
;Senior Underwriter;;;;
;Seniorenbetreuer;;;;
;Seniorensportleiter;;;;
;Senn;;;;
;Senologe;;;;
;Senologo;;;;
;Sénologue;;;;
;Sensoriker;;;;
;Sergent de garde-frontière;;;;
;Sergent de police;;;;
;Sergent-détective;;;;
;Sergente delle guardie di confine;;;;
;Sergente di polizia;;;;
;Sergente investigatore;;;;
;Sergente maggiore delle guardie di confine;;;;
;Sergente maresciallo di polizia;;;;
;Sergent-major de garde-frontière;;;;
;Sergent-major de police;;;;
;Sériciculteur;;;;
;Sericoltore;;;;
;Serigrafo;;;;
;Serigrafo, maestro;;;;
;Serigraph;;;;
;Sérigraphe;;;;
;Sérigraphe, maître;;;;
;Serramentista;;;;
;Serramentista di finestre;;;;
;Serramentista, alluminio e materiali sintetici;;;;
;Serrurier;;;;
;Serrurier dans la construction du bâtiment;;;;
;Serrurier de clôtures;;;;
;Serrurier de constructions métalliques;;;;
;Serrurier de réparations;;;;
;Serrurier d'entreprise;;;;
;Serrurier en aiguillages;;;;
;Serrurier en bâtiment;;;;
;Serrurier en carrosserie;;;;
;Serrurier en carrosserie, maître;;;;
;Serrurier en clefs;;;;
;Serrurier en constructions d'acier;;;;
;Serrurier sur machines;;;;
;Serrurier sur modèles;;;;
;Serrurier sur véhicules;;;;
;Serrurier, maître;;;;
;Serrurier-appareilleur;;;;
;Serrurier-chaudronnier;;;;
;Serrurier-constructeur (bâtiment);;;;
;Serrurier-constructeur, contremaître;;;;
;Serrurier-monteur;;;;
;Serrurier-outilleur;;;;
;Serrurier-soudeur;;;;
;Serrurier-tôlier;;;;
;Serrurier-tuyauteur;;;;
;Sertisseur de pierres d'horlogerie;;;;
;Sertisseur en bijouterie;;;;
;Sertisseur en joaillerie;;;;
;Sertisseur en joaillerie, maître;;;;
;Serveur;;;;
;Servicedesk-Mitarbeiter;;;;
;Servicefachangestellter;;;;
;Servicefachmann;;;;
;Servicehilfskraft;;;;
;Service-Level-Manager;;;;
;Service-Level-Manager;;;;
;Service-Level-Manager;;;;
;Serviceman dans une station de service;;;;
;Serviceman, apparecchi elettronici;;;;
;Serviceman, appareils électroniques;;;;
;Serviceman, elektronische Geräte;;;;
;Serviceman, Motorfahrzeug;;;;
;Serviceman, véhicules à moteur;;;;
;Serviceman, veicoli a motore;;;;
;Servicemechaniker;;;;
;Servicemitarbeiter;;;;
;Servicemonteur;;;;
;Servicetechniker;;;;
;Sesselflechter;;;;
;Sessuologo;;;;
;Setzerstereotypeur;;;;
;Sexologe;;;;
;Sexologue;;;;
;Sexualarbeiter;;;;
;Sexualberater;;;;
;Sexualkundelehrer;;;;
;Sexualpädagoge;;;;
;Sexualtherapeut;;;;
;Sgrassatore di metalli;;;;
;Shaba-Praktiker;;;;
;Shiatsu-Therapeut;;;;
;Shop Manager;;;;
;Shop Manager;;;;
;Shop Manager;;;;
;Sicherheits- und Bewachungsangestellter;;;;
;Sicherheitsangestellter;;;;
;Sicherheitsbeauftragter;;;;
;Sicherheitsbeauftragter im Spital und Heim;;;;
;Sicherheitsbeauftragter in Spitälern;;;;
;Sicherheitsberater;;;;
;Sicherheitschef;;;;
;Sicherheitschef SBB;;;;
;Sicherheitsfachmann;;;;
;Sicherheitsingenieur;;;;
;Sicherheitsinspektor;;;;
;Sicherheitspolitischer Berater;;;;
;Sicherheitspolizist;;;;
;Sicherheitsspezialist in Institutionen des Gesundheits- und Sozialwesens;;;;
;Sicherheitssystemmonteur;;;;
;Sicherheitstechniker;;;;
;Sicherheitswärter;;;;
;Sicherheitswärter Bahnbaustellen;;;;
;Siebdrucker;;;;
;Siebdruckmeister;;;;
;Siedlungsingenieur;;;;
;Siedlungsplaner;;;;
;Sigrist;;;;
;Silberschmied;;;;
;Silberschmiedemeister;;;;
;Silomeister;;;;
;Simulationsingenieur;;;;
;Sindaco;;;;
;Sindaco, presidente del consiglio d'amministrazione;;;;
;Singlehrer;;;;
;Sinologe;;;;
;Sinologo;;;;
;Sinologue;;;;
;Sismologo;;;;
;Sismologue;;;;
;Sistematico;;;;
;Skandinavist;;;;
;Skibauer;;;;
;Skieur professionnel;;;;
;Skiinstruktor;;;;
;Skilehrer;;;;
;Skiliftmaschinist;;;;
;Skipper (conducente di battelli);;;;
;Skipper (conducteur de bateau);;;;
;Skipper (Schiffsführer);;;;
;Skirennfahrer;;;;
;Skischulleiter;;;;
;Skiserviceman;;;;
;Skiserviceman;;;;
;Skiserviceman;;;;
;Skitrainer;;;;
;Skivermieter;;;;
;Slavista;;;;
;Slaviste;;;;
;Slawist;;;;
;Smaltatore;;;;
;Smaltatore (artigianato);;;;
;Smaltatore (industria della ceramica);;;;
;Smaltatore di gioielli;;;;
;Smaltatore di porcellana;;;;
;Smerigliatore di metalli;;;;
;Smerigliatore di parchetti;;;;
;Smerigliatore di vetro (decorazione del vetro);;;;
;Smistatore postale (corrispondenza);;;;
;Smussatore;;;;
;Smussatore di lamiere;;;;
;Smussatore specializzato;;;;
;Snowboarder;;;;
;Snowboarder;;;;
;Snowboarder;;;;
;Snowboardlehrer;;;;
;Soccorritore;;;;
;Soccorritore assistente d'ambulanza;;;;
;Soccorritore professionale;;;;
;Soccorritore stradale;;;;
;Social Media Manager;;;;
;Social Media Manager;;;;
;Social Media Manager;;;;
;Socio-criminologue;;;;
;Sociologo;;;;
;Sociologo della comunicazione;;;;
;Sociologue;;;;
;Sociologue de la communication;;;;
;Sociopedagogo;;;;
;Sociopédagogue;;;;
;Sociopsicologo;;;;
;Socio-psychologue;;;;
;Socioterapista;;;;
;Sociothérapeute;;;;
;Soffiatore a macchina;;;;
;Soffiatore del vetro, maestro;;;;
;Soffiatore di materie sintetiche;;;;
;Soffiatore di vetro;;;;
;Soffiatore di vetro per apparecchiature scientifiche;;;;
;Sofrologo;;;;
;Software Engineer;;;;
;Software Engineer;;;;
;Software Engineer;;;;
;Software Manager;;;;
;Software Manager;;;;
;Software Manager;;;;
;Software Supporter;;;;
;Software Supporter;;;;
;Software Supporter;;;;
;Softwareberater;;;;
;Softwarebetreuer;;;;
;Softwareentwickler;;;;
;Softwareingenieur;;;;
;Softwaretechniker;;;;
;Soigneur de chiens;;;;
;Solarenergietechniker;;;;
;Solarinstallateur;;;;
;Solartechniker;;;;
;Soldat de carrière;;;;
;Soldato di carriera;;;;
;Solution Designer (informatica);;;;
;Solution Designer (Informatik);;;;
;Solution Designer (informatique);;;;
;Sommelier;;;;
;Sommelier;;;;
;Sommelier;;;;
;Sommelier de bar;;;;
;Sommelier della birra;;;;
;Sommelier en bière;;;;
;Sommelier-chef;;;;
;Sommozzatore;;;;
;Sommozzatore professionista;;;;
;Somnologe;;;;
;Somnologue;;;;
;Sondatore;;;;
;Sondatore pratico;;;;
;Sondatore, capo;;;;
;Sonderklassenlehrer;;;;
;Sonderpädagoge;;;;
;Sonderschullehrer;;;;
;Sondeur;;;;
;Sonorizzatore;;;;
;Sophrologe;;;;
;Sophrologue;;;;
;Sortierer;;;;
;Sortimentsbuchhändler;;;;
;Sorvegliante alle chiuse;;;;
;Sorvegliante alle turbine a vapore;;;;
;Sorvegliante d'acquedotto;;;;
;Sorvegliante del materiale;;;;
;Sorvegliante di cantiere edile;;;;
;Sorvegliante di deposito ferroviario;;;;
;Sorvegliante di dighe;;;;
;Sorvegliante di gasometri;;;;
;Sorvegliante di lavori del genio civile;;;;
;Sorvegliante di lavori genio civile;;;;
;Sorvegliante di macchine a vapore;;;;
;Sorvegliante di parcheggio;;;;
;Sorvegliante di piste;;;;
;Sorvegliante di pranzi;;;;
;Sorvegliante di reattori;;;;
;Sorvegliante di sbarramenti;;;;
;Sorvegliante di stabilimento;;;;
;Sorvegliante di trasformatori;;;;
;Sorvegliante di treni;;;;
;Sorvegliante d'impianti;;;;
;Sorvegliante d'impianti di depurazione;;;;
;Sorvegliante d'impianti di depurazione delle acque;;;;
;Sorvegliante d'impianti idrici;;;;
;Sorvegliante sistemista;;;;
;Sostituto (amministrazione pubblica);;;;
;Sostituto d'avvocato;;;;
;Sostituto del capo del personale;;;;
;Sostituto del capo distretto;;;;
;Sostituto del capoacquisti;;;;
;Sostituto del capocuoco;;;;
;Sostituto del capoofficina;;;;
;Sostituto del capoufficio (membro di direzione);;;;
;Sostituto del direttore generale (amministrazione pubblica);;;;
;Sostituto del gerente di succursale;;;;
;Sostituto del giudice;;;;
;Sostituto del portinaio;;;;
;Sostituto dell'ufficiale capo (membro di direzione);;;;
;Sostituto direttore (amministrazione pubblica);;;;
;Sostituto-cancelliere;;;;
;Sostituto-capo ufficio esecuzioni;;;;
;Sottufficiale corpo di guardia delle fortificazioni;;;;
;Sottufficiale di carriera;;;;
;Sottufficiale di polizia;;;;
;Sottufficiale di professione;;;;
;Soudeur;;;;
;Soudeur de verre;;;;
;Soudeur praticien;;;;
;Soudeur-monteur;;;;
;Souffleur;;;;
;Souffleur;;;;
;Souffleur à la machine (verre);;;;
;Souffleur de verre;;;;
;Souffleur de verre pour appareils scientifiques;;;;
;Souffleur de verre, maître;;;;
;Sound designer;;;;
;Sound designer;;;;
;Sound Engineer;;;;
;Sound Engineer;;;;
;Sound Engineer;;;;
;Sounddesigner;;;;
;Sourcier radiesthésiste;;;;
;Sous-chef de cuisine;;;;
;Sous-Chef, stv. Küchenchef;;;;
;Sous-directeur;;;;
;Sous-lieutenant de police;;;;
;Sous-officier de carrière;;;;
;Sous-officier de police;;;;
;Sous-officier garde-fortifications;;;;
;Sous-officier, carrière militaire;;;;
;Sovrintendente ai monumenti;;;;
;Sozialanthropologe;;;;
;Sozialarbeiter;;;;
;Sozialassistent;;;;
;Sozialbegleiter;;;;
;Sozialberater;;;;
;Sozialdiakon;;;;
;Sozialdiakon (evangelisch-reformiert);;;;
;Sozialfürsorgeverwalter;;;;
;Sozialinspektor;;;;
;Sozialkriminologe;;;;
;Sozialpädagoge;;;;
;Sozialpädagogischer Betreuer;;;;
;Sozialpädagogischer Werkstattleiter;;;;
;Sozialpsychologe;;;;
;Sozialsekretär;;;;
;Sozialtherapeut;;;;
;Sozialumschulungslehrer;;;;
;Sozialversicherungs-Experte;;;;
;Sozialversicherungs-Fachmann;;;;
;Sozialwissenschafter;;;;
;Soziokultureller Animator;;;;
;Soziologe;;;;
;Soziopädagoge;;;;
;Spaccapietre;;;;
;Spaccapietre a mano;;;;
;Space Control Supervisor;;;;
;Space Control Supervisor;;;;
;Space Control Supervisor;;;;
;Spaltmaschinenarbeiter (Holzindustrie);;;;
;Spandino (industria della carta);;;;
;Spanischlehrer;;;;
;Spannteppichleger;;;;
;Spartitore postale;;;;
;Spazzacamino;;;;
;Spazzacamino, maestro;;;;
;Spazzaturaio;;;;
;Spazzino;;;;
;Speaker;;;;
;Speaker;;;;
;Speaker;;;;
;Specialista anticendio;;;;
;Specialista AVS;;;;
;Specialista aziendale in processi;;;;
;Specialista aziendale nella tecnologia di stampa;;;;
;Specialista aziendale nelle tecnologie di stampa ed imballaggio;;;;
;Specialista CIM (Compuserve Information Manager);;;;
;Specialista clinico;;;;
;Specialista CNC;;;;
;Specialista d'agenzia di viaggi;;;;
;Specialista d'approvvigionamento;;;;
;Specialista degli impianti di trasporto a fune;;;;
;Specialista dei media;;;;
;Specialista dei pidocchi;;;;
;Specialista dei servizi della navigazione aerea;;;;
;Specialista dei trasporti;;;;
;Specialista dei trasporti e della logistica;;;;
;Specialista dei trasporti pubblici;;;;
;Specialista del commercio al dettaglio;;;;
;Specialista del freddo;;;;
;Specialista del latte;;;;
;Specialista del legno;;;;
;Specialista del legno, commerciante di legno;;;;
;Specialista del legno, responsabile di produzione dell'industria del legno;;;;
;Specialista del pneumatico;;;;
;Specialista del ramo articoli sportivi;;;;
;Specialista del ramo panetteria-pasticceria-confetteria;;;;
;Specialista del ramo prodotti dietetici;;;;
;Specialista del servizio piste e soccorso;;;;
;Specialista del servizio tecnico clienti;;;;
;Specialista del settore cavallo;;;;
;Specialista del sonno/sonnologo;;;;
;Specialista del trucco (Make-up);;;;
;Specialista del vetro;;;;
;Specialista della ceramica;;;;
;Specialista della comunicazione;;;;
;Specialista della comunicazione aziendale;;;;
;Specialista della formazione professionale;;;;
;Specialista della gestione PMI;;;;
;Specialista della migrazione;;;;
;Specialista della previdenza in favore del personale;;;;
;Specialista della protezione dell'ambiente;;;;
;Specialista della pulizia;;;;
;Specialista della riproduzione;;;;
;Specialista della sicurezza in istituti sociali e di cura;;;;
;Specialista della sicurezza sul lavoro;;;;
;Specialista della sicurezza sul lavoro e della protezione della salute;;;;
;Specialista delle superfici di legno;;;;
;Specialista dell'industria conserviera;;;;
;Specialista dell'industria grafica;;;;
;Specialista dell'integrazione professionale e sociale;;;;
;Specialista dell'interpretariato e della mediazione interculturale;;;;
;Specialista dell'involucro edilizio;;;;
;Specialista d'etnobotanica;;;;
;Specialista di articoli elettrici;;;;
;Specialista di banca dati;;;;
;Specialista di costruzioni stradali;;;;
;Specialista di edizione;;;;
;Specialista di impianti al laser;;;;
;Specialista di lotta antiparassitaria;;;;
;Specialista di malattie polmonari;;;;
;Specialista di management in turismo;;;;
;Specialista di norme;;;;
;Specialista di postpress e allestimento;;;;
;Specialista di replicazione dati;;;;
;Specialista di reti;;;;
;Specialista di spedizione e logistica internazionale;;;;
;Specialista di taglio del calcestruzzo;;;;
;Specialista di tecnologia tessile;;;;
;Specialista di tessili;;;;
;Specialista di tipografia;;;;
;Specialista di traslochi;;;;
;Specialista di trattamento di materie prime;;;;
;Specialista di vini;;;;
;Specialista d'impianti solari;;;;
;Specialista diplomato in tecnica del calore e di combustione;;;;
;Specialista doganale;;;;
;Specialista farmaceutico;;;;
;Specialista finanziario;;;;
;Specialista Firewall;;;;
;Specialista gestione sistemi;;;;
;Specialista in accreditamenti;;;;
;Specialista in acustica;;;;
;Specialista in agricoltura biodinamica;;;;
;Specialista in amministrazione pubblica;;;;
;Specialista in appalti pubblici;;;;
;Specialista in articoli casalinghi;;;;
;Specialista in articoli sportivi;;;;
;Specialista in assicurazioni;;;;
;Specialista in attivazione;;;;
;Specialista in audiovisivi;;;;
;Specialista in automatica;;;;
;Specialista in azione/diritto di regresso (assicurazione);;;;
;Specialista in bioecologia della costruzione;;;;
;Specialista in biomedicina;;;;
;Specialista in brillamento;;;;
