;STR_ESID;STN_LABEL_FINAL;wikiQLabel;wikiQ;givenname;familyname;sex;birth;death;placebirth;placedeath;image
32091;10057819;Krippen;http://www.wikidata.org/entity/Q102928;Ekkehart Krippendorff;Ekkehart;;männlich;1934-03-22T00:00:00Z;2018-02-27T00:00:00Z;http://www.wikidata.org/entity/Q7070;http://www.wikidata.org/entity/Q64;
32092;10057820;Lotzwilfeld;;;;;;;;;;
32093;10057821;Melchnau;;;;;;;;;;
32094;10057822;Quellen;;;;;;;;;;
32095;10057823;Thunstetten;;;;;;;;;;
32096;10057824;Walke;http://www.wikidata.org/entity/Q176909;Walker Percy;Walker;Percy;männlich;1916-05-28T00:00:00Z;1990-05-10T00:00:00Z;http://www.wikidata.org/entity/Q79867;http://www.wikidata.org/entity/Q1014171;
32097;10057825;Wiesen;http://www.wikidata.org/entity/Q95124923;Wiesen;;;;;;;;
32098;10057832;Bleienbach;;;;;;;;;;
32099;10057833;Flur;http://www.wikidata.org/entity/Q104853;Michael Flürscheim;Michael;Flürscheim;männlich;1844-01-27T00:00:00Z;1912-04-24T00:00:00Z;http://www.wikidata.org/entity/Q1794;http://www.wikidata.org/entity/Q64;
32100;10057835;Höhen;;;;;;;;;;
32101;10057836;Matten;http://www.wikidata.org/entity/Q36615390;L.C. Matten;;;;;;;;
32102;10057837;Quellen;;;;;;;;;;
32103;10057838;Adler;http://www.wikidata.org/entity/Q21339719;Mónica Teresa Adler;Mónica;;weiblich;;;;;
32104;10057840;Finken;;;;;;;;;;
32105;10057842;Grossmatt;;;;;;;;;;
32106;10057871;Mettmenriet;;;;;;;;;;
32107;10057872;Ober;;;;;;;;;;
32108;10057873;Reb;http://www.wikidata.org/entity/Q18804;Rebecca Black;Rebecca;Black;weiblich;1997-06-21T00:00:00Z;;http://www.wikidata.org/entity/Q49219;;
32109;10057875;Soliboden;;;;;;;;;;
32110;10057876;Spital;;;;;;;;;;
32111;10057877;Tiefen;;;;;;;;;;
