;STR_ESID;STN_LABEL_FINAL;wikiQLabel;wikiQ;sex;birth;death;placebirth;placedeath
471;10000576;Kreuzacker;;;;;;;
472;10000577;Letten;;;;;;;
473;10000578;Mühlebühl;;;;;;;
474;10000579;Mühle;;;;;;;
475;10000580;Pfadacher;;;;;;;
476;10000581;Rappenholz;;;;;;;
477;10000582;Rebhalde;;;;;;;
478;10000583;Sporrgli;;;;;;;
479;10000584;Summerau;;;;;;;
480;10000585;Tobel;;;;;;;
481;10000586;Vogelsang;;;;;;;
482;10000587;Waldegg;;;;;;;
483;10000588;Weinberg;;;;;;;
484;10000589;Zentral;;;;;;;
485;10000590;Asyl;;;;;;;
486;10000591;Bahnhof;;;;;;;
487;10000592;Bahn;;;;;;;
488;10000593;Beugetli;;;;;;;
489;10000594;Blumenau;;;;;;;
490;10000595;Büel;;;;;;;
491;10000596;Büchel;;;;;;;
492;10000597;Büchel;;;;;;;
493;10000598;Bürgli;;;;;;;
494;10000599;Egg;;;;;;;
495;10000600;Feldblumen;;;;;;;
496;10000601;Flieder;;;;;;;
497;10000602;Flora;;;;;;;
498;10000603;Glärnisch;;;;;;;
499;10000604;Gstalder;;;;;;;
500;10000605;Hofacker;;;;;;;
501;10000608;Kilchberg;;;;;;;
502;10000609;Krebsbach;;;;;;;
503;10000610;Lebern;;;;;;;
504;10000612;Mittel;;;;;;;
505;10000613;Neugut;;;;;;;
506;10000614;Chopfholz;;;;;;;
507;10000615;Obertili;;;;;;;
508;10000616;Pumpwerk;;;;;;;
509;10000617;Quellen;;;;;;;
510;10000618;Rebegg;;;;;;;
511;10000619;Reb;;;;;;;
512;10000620;Rifert;;;;;;;
513;10000621;Ris;;;;;;;
514;10000622;Rüti;;;;;;;
515;10000623;Schwarzenberg;;;;;;;
516;10000624;Schönau;;;;;;;
517;10000625;Sihlau;;;;;;;
518;10000626;Sihl;;;;;;;
519;10000627;Sonnen;;;;;;;
520;10000628;Soodmatten;;;;;;;
521;10000630;Tal;;;;;;;
522;10000631;Thalegg;;;;;;;
523;10000632;Tobelhof;;;;;;;
524;10000633;Tüfi;;;;;;;
525;10000634;Wachthügel;;;;;;;
526;10000635;Weberei;;;;;;;
527;10000636;Werd;;;;;;;
528;10000637;Zelg;;;;;;;
529;10000638;Zipfel;;;;;;;
530;10000639;Aepplihoger;;;;;;;
531;10000640;Boden;;;;;;;
532;10000641;Brestenegg;;;;;;;
533;10000642;Bruederhus;;;;;;;
534;10000643;Brämenhalden;;;;;;;
535;10000644;Chelengüetli;;;;;;;
536;10000645;Cholgrueb;;;;;;;
537;10000646;Dorf;;;;;;;
538;10000647;Fabrik;;;;;;;
539;10000650;Rossauer;;;;;;;
540;10000652;Sunne;;;;;;;
541;10000653;Tann;;;;;;;
542;10000654;Tobel;;;;;;;
543;10000655;Trubengass;;;;;;;
544;10000656;Berg;;;;;;;
545;10000658;Waisenhaus;;;;;;;
546;10000659;Weingarten;;;;;;;
547;10000660;Weingarten;;;;;;;
548;10000661;West;;;;;;;
549;10000663;Zuger;;;;;;;
550;10000664;Balp;;;;;;;
551;10000665;Bergli;;;;;;;
552;10000666;Rai;;;;;;;
553;10000667;Surebaum;;;;;;;
554;10000669;Obermoos;;;;;;;
555;10000670;Ried;;;;;;;
556;10000671;Rosen;;;;;;;
557;10000672;Schlatter;;;;;;;
558;10000673;Schnaller;;;;;;;
559;10000674;Schul;;;;;;;
560;10000676;Tösstal;;;;;;;
561;10000678;Weid;;;;;;;
562;10000683;Chalspel;;;;;;;
563;10000687;Hintertobel;;;;;;;
564;10000699;Büel;;;;;;;
565;10000700;Chalcheren;;;;;;;
566;10000702;wiese;;;;;;;
567;10000703;Illnauer;;;;;;;
568;10000706;Lendiker;;;;;;;
569;10000707;Ludetswiler;;;;;;;
570;10000708;Oberhof;;;;;;;
571;10000709;Rebberg;;;;;;;
572;10000710;Reservoir;;;;;;;
573;10000711;Schul;;;;;;;
574;10000713;Schützen;;;;;;;
575;10000714;Weiher;;;;;;;
576;10000715;Aegetswiler;;;;;;;
577;10000718;Eiliberg;;;;;;;
578;10000719;Erlen;;;;;;;
579;10000720;Espi;;;;;;;
580;10000721;Friedhof;;;;;;;
581;10000724;Huswis;;;;;;;
582;10000725;Jakobsbrunnen;;;;;;;
583;10000727;Lochbach;;;;;;;
584;10000728;Kesselriet;;;;;;;
585;10000730;Pünt;;;;;;;
586;10000731;Schalchen;;;;;;;
587;10000735;Tösstal;;;;;;;
588;10000744;Fronberg;;;;;;;
589;10000745;Löchli;;;;;;;
590;10000746;Spitzacker;;;;;;;
591;10000747;Hohfurri;;;;;;;
592;10000748;Kaiserstuhl;;;;;;;
593;10000749;Lägern;;;;;;;
594;10000750;Mad;http://www.wikidata.org/entity/Q3275117;Mad;männlich;1969-11-17T00:00:00Z;1993-05-15T00:00:00Z;http://www.wikidata.org/entity/Q7880;http://www.wikidata.org/entity/Q275547
595;10000751;Rietli;;;;;;;
596;10000753;Schul;;;;;;;
597;10000754;Seebler;;;;;;;
598;10000755;Steinacker;;;;;;;
599;10000756;Süd;;;;;;;
600;10000757;Glattal;;;;;;;
601;10000758;Zürcher;;;;;;;
602;10000759;Berg;;;;;;;
603;10000760;Brünnli;;;;;;;
604;10000761;Buchen;;;;;;;
605;10000762;Bächel;;;;;;;
606;10000763;Chile;;;;;;;
607;10000764;Trüller;;;;;;;
608;10000765;Vogelsang;;;;;;;
609;10000766;Zürcher;;;;;;;
610;10000767;Altsbühl;;;;;;;
611;10000768;Ebni;;;;;;;
612;10000769;Oehninger;;;;;;;
613;10000770;Rüti;;;;;;;
614;10000771;Amenloch;;;;;;;
615;10000772;Andelfinger;;;;;;;
616;10000773;Breiten;;;;;;;
617;10000776;Ifang;;;;;;;
618;10000777;Schuder;;;;;;;
619;10000778;Langen;;;;;;;
620;10000779;Oberdorf;;;;;;;
621;10000780;Obermühle;;;;;;;
622;10000781;Platte;;;;;;;
623;10000782;Reben;;;;;;;
624;10000784;Untermühle;;;;;;;
625;10000785;Weber;http://www.wikidata.org/entity/Q1414734;Weber;männlich;1828-07-08T00:00:00Z;1879-06-25T00:00:00Z;http://www.wikidata.org/entity/Q628981;http://www.wikidata.org/entity/Q60
626;10000787;Chuster;;;;;;;
627;10000788;Dorf;;;;;;;
628;10000789;Gründen;;;;;;;
629;10000790;Heller;;;;;;;
630;10000791;Ulmer;;;;;;;
631;10000792;Neuberg;;;;;;;
632;10000793;Neu;;;;;;;
633;10000794;Schiltli;;;;;;;
634;10000795;Trüllen;;;;;;;
635;10000796;Bilg;;;;;;;
636;10000797;Bungert;;;;;;;
637;10000798;Ebnet;;;;;;;
638;10000800;Flaacher;;;;;;;
639;10000801;Halden;;;;;;;
640;10000802;Gugelment;;;;;;;
641;10000803;Langwingerten;;;;;;;
642;10000804;Weingarten;;;;;;;
643;10000805;Buchser;;;;;;;
644;10000806;Buchser;;;;;;;
645;10000807;Bölle;;;;;;;
646;10000808;Hohl;;;;;;;
647;10000809;Leebern;;;;;;;
648;10000810;Lätten;;;;;;;
649;10000811;Rechenbühl;;;;;;;
650;10000812;Schwenkelberg;;;;;;;
651;10000813;Ausserdorf;;;;;;;
652;10000815;Breiten;;;;;;;
653;10000816;Flughof;;;;;;;
654;10000817;Garten;;;;;;;
655;10000818;Hellbuck;;;;;;;
656;10000819;Hofwisen;;;;;;;
657;10000820;Ifang;;;;;;;
658;10000821;Kaspar Hinnen;;;;;;;
659;10000822;Kirch;;;;;;;
660;10000823;Klotener;;;;;;;
661;10000824;Kuzen;;;;;;;
662;10000825;Leberbäumli;;;;;;;
663;10000826;Looren;;;;;;;
664;10000827;Mittel;;;;;;;
665;10000828;Oberdorf;;;;;;;
666;10000829;Ried;;;;;;;
667;10000830;Riedmatt;;;;;;;
668;10000831;Scherenwiesen;;;;;;;
669;10000833;Tempelhof;;;;;;;
670;10000834;Zil;;;;;;;
671;10000837;Bluemwis;;;;;;;
672;10000838;Chrüzacher;;;;;;;
673;10000840;Hofwis;;;;;;;
674;10000842;Leibach;;;;;;;
675;10000844;Wehntaler;;;;;;;
676;10000845;Berg;;;;;;;
677;10000846;Chaltbrunn;;;;;;;
678;10000847;Chilegass;;;;;;;
679;10000848;Dorfreben;;;;;;;
680;10000849;Hinterdorf;;;;;;;
681;10000851;Winkel;;;;;;;
682;10000852;Güggelstein;;;;;;;
683;10000853;Halden;;;;;;;
684;10000854;Haufacher;;;;;;;
685;10000855;Hermi;;;;;;;
686;10000856;Hof;;;;;;;
687;10000857;Irchenbüel;;;;;;;
